********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,Frequency,See Legend,C,Flag Code,%,Flag Code,mb,Flag Code,m/s,Flag Code,m/s,Flag Code,time, degrees,Flag Code,sd,Flag Code,millimoles/m2, Flag Code,mm,Flag Code
tjrtlmet,P,06/01/2022 12:00,1,1,15,,19.5,<0> ,70,<0> ,1011,<0> ,3.8,<0> ,5.6,<0> ,11:53,243,<0> ,16,<0> ,1631.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 12:15,1,1,15,,19.3,<0> ,71,<0> ,1011,<0> ,3.7,<0> ,5.3,<0> ,12:04,255,<0> ,15,<0> ,1717.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 12:30,1,1,15,,19.3,<0> ,71,<0> ,1011,<0> ,3.4,<0> ,5.5,<0> ,12:29,256,<0> ,14,<0> ,1456.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 12:45,1,1,15,,19.1,<0> ,72,<0> ,1011,<0> ,3.7,<0> ,5.6,<0> ,12:35,249,<0> ,16,<0> ,1252.5,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 13:00,1,1,15,,19.1,<0> ,72,<0> ,1011,<0> ,3.5,<0> ,5.2,<0> ,12:51,251,<0> ,17,<0> ,1469.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 13:15,1,1,15,,19.4,<0> ,71,<0> ,1011,<0> ,3.5,<0> ,5.3,<0> ,13:14,242,<0> ,15,<0> ,1275.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 13:30,1,1,15,,18.9,<0> ,73,<0> ,1011,<0> ,3.7,<0> ,5.6,<0> ,13:19,236,<0> ,16,<0> ,1150.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 13:45,1,1,15,,18.9,<0> ,72,<0> ,1011,<0> ,3.5,<0> ,5.1,<0> ,13:39,228,<0> ,18,<0> ,1009.1,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 14:00,1,1,15,,18.3,<0> ,75,<0> ,1011,<0> ,3.7,<0> ,5.4,<0> ,13:54,227,<0> ,14,<0> ,899.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 14:15,1,1,15,,18.2,<0> ,75,<0> ,1011,<0> ,3.6,<0> ,5.5,<0> ,14:02,219,<0> ,20,<0> ,827.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 14:30,1,1,15,,18.4,<0> ,74,<0> ,1011,<0> ,3.5,<0> ,5.8,<0> ,14:23,217,<0> ,15,<0> ,1130.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 14:45,1,1,15,,18.1,<0> ,75,<0> ,1011,<0> ,3.3,<0> ,5.4,<0> ,14:41,218,<0> ,15,<0> ,831.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 15:00,1,1,15,,18.0,<0> ,76,<0> ,1011,<0> ,3.7,<0> ,5.5,<0> ,14:48,217,<0> ,17,<0> ,794.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 15:15,1,1,15,,17.9,<0> ,76,<0> ,1011,<0> ,3.8,<0> ,5.2,<0> ,15:04,212,<0> ,18,<0> ,787.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 15:30,1,1,15,,18.0,<0> ,75,<0> ,1010,<0> ,3.6,<0> ,5.6,<0> ,15:24,216,<0> ,17,<0> ,833.7,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 15:45,1,1,15,,17.6,<0> ,76,<0> ,1010,<0> ,3.5,<0> ,5.1,<0> ,15:37,222,<0> ,15,<0> ,601.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 16:00,1,1,15,,17.4,<0> ,77,<0> ,1010,<0> ,3.2,<0> ,4.7,<0> ,15:46,222,<0> ,15,<0> ,527.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 16:15,1,1,15,,17.1,<0> ,78,<0> ,1010,<0> ,3.3,<0> ,5.0,<0> ,16:07,223,<0> ,16,<0> ,371.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 16:30,1,1,15,,16.9,<0> ,79,<0> ,1010,<0> ,3.2,<0> ,5.4,<0> ,16:19,215,<0> ,18,<0> ,388.7,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 16:45,1,1,15,,17.0,<0> ,78,<0> ,1010,<0> ,3.2,<0> ,5.6,<0> ,16:32,228,<0> ,16,<0> ,433.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 17:00,1,1,15,,16.6,<0> ,79,<0> ,1010,<0> ,2.9,<0> ,4.4,<0> ,16:57,213,<0> ,20,<0> ,297.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 17:15,1,1,15,,16.4,<0> ,80,<0> ,1010,<0> ,2.9,<0> ,4.2,<0> ,17:10,235,<0> ,15,<0> ,322.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 17:30,1,1,15,,16.3,<0> ,81,<0> ,1010,<0> ,2.7,<0> ,4.5,<0> ,17:27,225,<0> ,20,<0> ,247.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 17:45,1,1,15,,15.9,<0> ,82,<0> ,1010,<0> ,2.5,<0> ,4.5,<0> ,17:44,225,<0> ,17,<0> ,178.6,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 18:00,1,1,15,,16.0,<0> ,81,<0> ,1010,<0> ,2.4,<0> ,3.8,<0> ,17:45,222,<0> ,15,<0> ,202.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 18:15,1,1,15,,15.8,<0> ,82,<0> ,1010,<0> ,2.0,<0> ,3.6,<0> ,18:01,221,<0> ,14,<0> ,112.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 18:30,1,1,15,,15.6,<0> ,83,<0> ,1010,<0> ,1.6,<0> ,2.8,<0> ,18:17,222,<0> ,13,<0> ,73.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 18:45,1,1,15,,15.4,<0> ,83,<0> ,1010,<0> ,1.6,<0> ,2.5,<0> ,18:43,223,<0> ,13,<0> ,29.5,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 19:00,1,1,15,,15.1,<0> ,84,<0> ,1010,<0> ,1.3,<0> ,2.5,<0> ,18:45,242,<0> ,13,<0> ,8.5,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 19:15,1,1,15,,15.0,<0> ,85,<0> ,1010,<0> ,1.1,<0> ,2.0,<0> ,19:06,231,<0> ,13,<0> ,0.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 19:30,1,1,15,,14.8,<0> ,85,<0> ,1010,<0> ,0.8,<0> ,1.4,<0> ,19:25,228,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 19:45,1,1,15,,14.7,<0> ,86,<0> ,1010,<0> ,0.7,<0> ,2.0,<0> ,19:41,221,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 20:00,1,1,15,,14.6,<0> ,86,<0> ,1010,<0> ,1.0,<0> ,1.9,<0> ,19:50,220,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 20:15,1,1,15,,14.6,<0> ,87,<0> ,1010,<0> ,0.8,<0> ,1.5,<0> ,20:00,204,<0> ,17,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 20:30,1,1,15,,14.3,<0> ,88,<0> ,1010,<0> ,0.6,<0> ,1.3,<0> ,20:16,194,<0> ,16,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 20:45,1,1,15,,14.2,<0> ,88,<0> ,1010,<0> ,0.6,<0> ,1.6,<0> ,20:33,183,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 21:00,1,1,15,,14.1,<0> ,89,<0> ,1011,<0> ,0.8,<0> ,1.5,<0> ,20:54,176,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 21:15,1,1,15,,13.9,<0> ,89,<0> ,1011,<0> ,0.9,<0> ,1.3,<0> ,21:11,178,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 21:30,1,1,15,,13.9,<0> ,89,<0> ,1011,<0> ,0.9,<0> ,1.5,<0> ,21:25,174,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 21:45,1,1,15,,14.0,<0> ,90,<0> ,1011,<0> ,0.7,<0> ,1.2,<0> ,21:30,153,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 22:00,1,1,15,,13.9,<0> ,90,<0> ,1011,<0> ,0.7,<0> ,1.1,<0> ,21:54,167,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 22:15,1,1,15,,13.9,<0> ,90,<0> ,1010,<0> ,0.8,<0> ,1.2,<0> ,22:03,150,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 22:30,1,1,15,,13.9,<0> ,90,<0> ,1010,<0> ,0.6,<0> ,1.2,<0> ,22:16,151,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 22:45,1,1,15,,13.9,<0> ,91,<0> ,1010,<0> ,0.5,<0> ,0.9,<0> ,22:31,132,<0> ,16,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 23:00,1,1,15,,13.9,<0> ,91,<0> ,1010,<0> ,0.6,<0> ,1.0,<0> ,22:45,124,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 23:15,1,1,15,,13.7,<0> ,91,<0> ,1010,<0> ,0.7,<0> ,1.0,<0> ,23:04,128,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 23:30,1,1,15,,13.7,<0> ,91,<0> ,1010,<0> ,0.5,<0> ,0.8,<0> ,23:28,128,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/01/2022 23:45,1,1,15,,13.6,<0> ,91,<0> ,1010,<0> ,0.7,<0> ,1.0,<0> ,23:35,146,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 00:00,1,1,15,,13.6,<0> ,92,<0> ,1010,<0> ,0.6,<0> ,0.9,<0> ,23:57,127,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 00:15,1,1,15,,13.5,<0> ,91,<0> ,1010,<0> ,0.7,<0> ,1.2,<0> ,00:08,134,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 00:30,1,1,15,,13.4,<0> ,92,<0> ,1010,<0> ,0.8,<0> ,1.3,<0> ,00:25,141,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 00:45,1,1,15,,13.3,<0> ,92,<0> ,1010,<0> ,0.9,<0> ,1.5,<0> ,00:35,150,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 01:00,1,1,15,,13.3,<0> ,92,<0> ,1010,<0> ,1.0,<0> ,1.5,<0> ,00:45,148,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 01:15,1,1,15,,13.2,<0> ,92,<0> ,1010,<0> ,1.0,<0> ,1.4,<0> ,01:01,150,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 01:30,1,1,15,,12.9,<0> ,92,<0> ,1010,<0> ,1.0,<0> ,1.6,<0> ,01:20,147,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 01:45,1,1,15,,12.7,<0> ,92,<0> ,1010,<0> ,1.0,<0> ,1.5,<0> ,01:41,146,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 02:00,1,1,15,,12.6,<0> ,93,<0> ,1010,<0> ,0.9,<0> ,1.5,<0> ,01:52,150,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 02:15,1,1,15,,12.7,<0> ,93,<0> ,1010,<0> ,0.9,<0> ,1.7,<0> ,02:12,162,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 02:30,1,1,15,,12.9,<0> ,93,<0> ,1010,<0> ,1.0,<0> ,2.0,<0> ,02:23,157,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 02:45,1,1,15,,13.1,<0> ,94,<0> ,1010,<0> ,1.4,<0> ,2.8,<0> ,02:39,171,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 03:00,1,1,15,,13.0,<0> ,93,<0> ,1010,<0> ,1.4,<0> ,2.2,<0> ,02:55,151,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 03:15,1,1,15,,12.7,<0> ,93,<0> ,1010,<0> ,1.4,<0> ,2.2,<0> ,03:11,140,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 03:30,1,1,15,,12.7,<0> ,94,<0> ,1010,<0> ,1.2,<0> ,1.9,<0> ,03:22,137,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 03:45,1,1,15,,12.7,<0> ,93,<0> ,1010,<0> ,0.9,<0> ,1.8,<0> ,03:41,130,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 04:00,1,1,15,,12.6,<0> ,93,<0> ,1010,<0> ,1.0,<0> ,1.6,<0> ,03:54,112,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 04:15,1,1,15,,13.0,<0> ,94,<0> ,1010,<0> ,0.6,<0> ,1.2,<0> ,04:13,116,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 04:30,1,1,15,,13.5,<0> ,93,<0> ,1010,<0> ,0.6,<0> ,1.2,<0> ,04:25,108,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 04:45,1,1,15,,13.9,<0> ,92,<0> ,1010,<0> ,0.8,<0> ,1.5,<0> ,04:33,98,<0> ,10,<0> ,2.3,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 05:00,1,1,15,,14.2,<0> ,91,<0> ,1010,<0> ,0.8,<0> ,1.8,<0> ,04:59,94,<0> ,21,<0> ,8.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 05:15,1,1,15,,14.4,<0> ,90,<0> ,1010,<0> ,1.1,<0> ,1.9,<0> ,05:02,105,<0> ,12,<0> ,20.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 05:30,1,1,15,,14.6,<0> ,89,<0> ,1010,<0> ,1.2,<0> ,2.5,<0> ,05:24,112,<0> ,15,<0> ,38.4,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 05:45,1,1,15,,14.7,<0> ,89,<0> ,1011,<0> ,1.1,<0> ,1.7,<0> ,05:30,104,<0> ,15,<0> ,61.8,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 06:00,1,1,15,,14.8,<0> ,89,<0> ,1011,<0> ,1.2,<0> ,2.1,<0> ,05:55,109,<0> ,16,<0> ,82.2,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 06:15,1,1,15,,14.9,<0> ,88,<0> ,1011,<0> ,1.4,<0> ,2.6,<0> ,06:13,104,<0> ,18,<0> ,113.9,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 06:30,1,1,15,,15.0,<0> ,88,<0> ,1011,<0> ,1.3,<0> ,2.4,<0> ,06:28,101,<0> ,21,<0> ,151.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 06:45,1,1,15,,15.3,<0> ,87,<0> ,1011,<0> ,1.0,<0> ,1.9,<0> ,06:33,92,<0> ,18,<0> ,205.0,<0> ,0.0,<0> ,
tjrtlmet,P,06/02/2022 07:00,1,1,15,,15.6,<0> ,86,<0> ,1011,<0> ,0.9,<0> ,1.9,<0> ,06:47,105,<0> ,17,<0> ,232.1,<0> ,0.0,<0> ,
