$,,,,,
,,,,,
JDAY,TAIR,TDEW,PHI,WIND,CLOUD
2.63541667,14.4,11.73038596,308,3.1,5
2.64583333,14.2,11.53451081,306,3.3,5
2.65625,14.3,11.63244878,307,2.9,5
2.66666667,14.2,11.35344658,303,3.3,5
2.67708333,14.2,11.53451081,306,3,5
2.6875,14.1,11.43657205,306,2.8,5
2.69791667,14.1,11.43657205,305,2.9,5
2.70833333,14,11.51753157,304,3.1,5
2.71875,13.9,11.41945345,300,2.8,5
2.72916667,13.7,11.22329501,295,2.8,5
2.73958333,13.5,11.2035059,300,2.3,5
2.75,13.4,11.1052879,296,2.4,5
2.76041667,13.3,11.00706922,292,2.5,5
2.77083333,13.2,11.08301935,290,2.1,5
2.78125,13.1,10.98466455,293,1.9,5
2.79166667,13.1,10.98466455,288,2.1,5
2.80208333,13.1,10.98466455,285,1.8,5
2.8125,13,11.05845614,292,1.9,5
2.82291667,12.9,10.95996669,299,2,5
2.83333333,12.8,10.86147666,297,2,5
2.84375,12.7,10.93302122,293,1.9,5
2.85416667,12.7,10.93302122,299,2,5
2.86458333,12.5,10.9038723,295,1.9,5
2.875,12.4,10.97144756,306,2.1,5
2.88541667,12.3,10.87256272,301,2,5
2.89583333,12.3,10.87256272,300,1.8,5
2.90625,12.4,10.97144756,309,2,5
2.91666667,12.4,10.80511738,304,2.3,5
2.92708333,12.4,10.97144756,308,2.1,5
2.9375,12.4,10.80511738,313,1.7,5
2.94791667,12.6,11.00262674,303,1.6,5
2.95833333,12.7,11.1013807,316,1.2,5
2.96875,12.6,11.00262674,305,1.9,5
2.97916667,12.6,11.00262674,298,1.8,5
2.98958333,12.5,10.73577432,295,1.4,5
3,12.5,10.56600307,280,1.7,5
3.01041667,12.5,10.73577432,276,1.6,5
3.02083333,12.4,10.80511738,242,1.1,5
3.03125,12.5,10.73577432,290,1.2,5
3.04166667,12.4,10.80511738,280,1,5
3.05208333,12.4,10.97144756,304,1,5
3.0625,12.3,11.03716133,319,0.2,5
3.07291667,12.3,11.03716133,184,0.1,5
3.08333333,12.2,11.10104998,266,0.6,5
3.09375,12.2,11.10104998,323,0,5
3.10416667,12.2,11.10104998,323,0.1,5
3.11458333,12.1,11.16314875,360,0.2,5
3.125,12.1,11.16314875,61,0.4,5
3.13541667,12.2,11.26241557,102,0.1,5
3.14583333,12.1,11.16314875,141,0.2,5
3.15625,12.1,11.16314875,0,0,5
3.16666667,12.1,11.16314875,0,0,5
3.17708333,12.1,11.16314875,224,0.1,5
3.1875,12.1,11.16314875,219,0.1,5
3.19791667,12,11.06388164,222,0.1,5
3.20833333,12,11.06388164,211,0.5,5
3.21875,12,11.06388164,202,0.3,5
3.22916667,12,11.06388164,171,0.5,5
3.23958333,12,11.06388164,152,0.7,5
3.25,12,11.06388164,154,0.8,5
3.26041667,12,11.06388164,182,0.8,5
3.27083333,12,11.22349185,173,0.7,5
3.28125,12.1,11.32288373,129,0.6,5
3.29166667,12,11.22349185,187,0.8,5
3.30208333,12.1,11.32288373,179,1.4,5
3.3125,12.1,11.32288373,214,1.6,5
3.32291667,12.2,11.42227537,199,1.2,5
3.33333333,12.2,11.42227537,226,1.6,5
3.34375,12.1,11.48114379,227,1.8,5
3.35416667,12.2,11.58065917,217,1.7,5
3.36458333,12.1,11.48114379,228,1.8,5
3.375,12.2,11.42227537,230,1.8,5
3.38541667,12.3,11.52166677,228,1.7,5
3.39583333,12.3,11.52166677,226,1.7,5
3.40625,12.4,11.62105794,219,1.5,5
3.41666667,12.4,11.46094836,226,1.7,5
3.42708333,12.5,11.3984707,220,1.4,5
3.4375,12.8,11.3669826,206,1.6,5
3.44791667,13.1,11.32750863,228,1.6,5
3.45833333,13.4,11.27972705,235,2,5
3.46875,13.6,11.12521469,225,2,5
3.47916667,13.9,11.24069218,243,2.2,5
3.48958333,14.1,11.25564706,240,2.6,5
3.5,14.2,11.53451081,242,2.8,5
3.51041667,14.1,11.07279076,237,2.7,5
3.52083333,14.2,11.17044965,254,2.8,5
3.53125,14.4,11.1805061,252,2.6,5
3.54166667,15,11.5774278,251,2.2,5
3.55208333,15,11.00027835,270,2,5
3.5625,15.4,11.1905724,264,2,5
3.57291667,15.7,11.28072284,272,2.2,5
3.58333333,15.6,10.98174608,269,2.6,5
3.59375,15.8,11.17466482,269,2.6,5
3.60416667,15.9,11.06586776,270,2.8,5
3.61458333,15.9,11.27112219,276,3,5
3.625,15.4,10.99087758,270,3.3,5
3.63541667,15.6,11.18410903,270,3.1,5
3.64583333,15.5,11.08749394,271,3.1,5
3.65625,15.4,10.78882202,261,2.8,5
3.66666667,15.4,10.78882202,259,2.9,5
3.67708333,15.3,10.48803637,255,3,5
3.6875,15.1,10.29541479,257,2.7,5
3.69791667,14.8,10.21001786,261,2.4,5
3.70833333,14.4,10.02464378,269,2.1,5
3.71875,14.1,10.12791566,269,2.4,5
3.72916667,13.9,10.12696589,274,2.1,5
3.73958333,13.7,10.12325436,268,2.1,5
3.75,13.5,10.11684248,261,2.1,5
3.76041667,13.4,10.20531394,259,2.2,5
3.77083333,13.3,10.10778951,260,1.9,5
3.78125,13.3,10.29148744,257,1.2,5
3.79166667,13.2,10.37541355,276,1.7,5
3.80208333,13.2,10.37541355,277,1.9,5
3.8125,13.2,10.1938205,254,1.2,5
3.82291667,13.2,10.01026413,252,1.3,5
3.83333333,13.2,10.01026413,277,1,5
3.84375,13.1,9.912737812,247,0.9,5
3.85416667,13.2,10.01026413,266,0.3,5
3.86458333,13.1,9.727315018,301,0.7,5
3.875,13.1,9.727315018,334,0.5,5
3.88541667,13.1,9.727315018,74,0.7,5
3.89583333,13.1,9.912737812,214,1.2,5
3.90625,13.1,9.539836588,171,0.5,5
3.91666667,13.1,9.539836588,129,0.6,5
3.92708333,13,9.629930649,131,0.3,5
3.9375,13.1,9.912737812,179,0.7,5
3.94791667,13,10.17979685,201,0.7,5
3.95833333,13,9.998483944,207,1.1,5
3.96875,13,9.998483944,215,1.7,5
3.97916667,12.9,9.900814323,209,1.7,5
3.98958333,12.9,9.900814323,190,1.3,5
4,12.8,9.984176782,201,1.4,5
4.01041667,12.8,9.984176782,217,1.3,5
4.02083333,12.7,10.06534662,219,0.5,5
4.03125,12.7,10.06534662,175,0.4,5
4.04166667,12.6,9.967396027,125,0.2,5
4.05208333,12.7,10.41774273,211,0.3,5
4.0625,12.6,10.31951925,228,0.1,5
4.07291667,12.5,10.22129508,154,0.3,5
4.08333333,12.4,10.4675107,166,0.2,5
4.09375,12.3,10.36901775,142,0.2,5
4.10416667,12.3,10.53852529,181,0.8,5
4.11458333,12.1,10.67479174,174,1,5
4.125,12,10.90276782,148,0.8,5
4.13541667,11.9,10.96461425,130,0.7,5
4.14583333,11.9,11.12409974,115,0.8,5
4.15625,11.9,11.12409974,153,1.7,5
4.16666667,11.9,11.12409974,203,1.9,5
4.17708333,11.9,11.28211245,214,1.8,5
4.1875,11.8,11.1825965,223,1.8,5
4.19791667,11.7,11.08308036,208,1.7,5
4.20833333,11.7,11.08308036,206,1.5,5
4.21875,11.7,11.08308036,192,1.6,5
4.22916667,11.7,11.08308036,179,1.7,5
4.23958333,11.7,11.08308036,171,1.1,5
4.25,11.8,11.1825965,153,1.2,5
4.26041667,12,11.38162822,165,1.3,5
4.27083333,12.1,11.32288373,171,1.4,5
4.28125,12.3,11.36168211,173,1.7,5
4.29166667,12.6,11.16921594,183,1.9,5
4.30208333,12.9,10.95996669,192,1.8,5
4.3125,13.4,11.1052879,200,1.8,5
4.32291667,13.7,11.04480914,206,1.9,5
4.33333333,13.7,10.86444058,199,2.1,5
4.34375,13.8,10.77980872,204,2.3,5
4.35416667,14.4,10.9932207,208,2.7,5
4.36458333,14.7,10.9036077,203,3.1,5
4.375,15,11.00027835,209,3.1,5
4.38541667,15,11.00027835,218,3.5,5
4.39583333,15.4,11.1905724,225,3.2,5
4.40625,15.5,10.88528471,217,3.6,5
4.41666667,15.6,10.98174608,225,3.8,5
4.42708333,15.8,10.969566,229,3.8,5
4.4375,15.5,10.68065239,226,3.7,5
4.44791667,15.6,10.77695831,230,3.6,5
4.45833333,15.8,10.969566,238,3.5,5
4.46875,15.9,11.06586776,250,3.6,5
4.47916667,15.7,11.07820612,253,3.5,5
4.48958333,16,10.95426303,255,3.6,5
4.5,16.1,11.25846712,265,3.6,5
4.51041667,16.1,11.25846712,270,3.8,5
4.52083333,16.2,11.35476472,281,3.9,5
4.53125,16.4,11.54735574,283,3.7,5
4.54166667,16.5,11.43495607,287,3.6,5
4.55208333,16.3,11.24268319,284,3.7,5
4.5625,16.7,11.62722316,292,3.6,5
4.57291667,16.4,11.33882035,296,3.7,5
4.58333333,16.4,11.33882035,300,3.4,5
4.59375,17,11.4888418,297,3.4,5
4.60416667,16.6,11.53109034,301,3.6,5
4.61458333,16.6,11.3196677,295,3.3,5
4.625,16.8,11.51161256,293,3.2,5
4.63541667,16.6,11.3196677,291,3.2,5
4.64583333,16.4,11.12771682,296,3,5
4.65625,16.2,11.35476472,293,3,5
4.66666667,16.1,11.46403293,293,3.1,5
4.67708333,16,11.57055662,293,3.1,5
4.6875,15.7,11.4808738,293,3.5,5
4.69791667,15.4,11.38796482,291,3.6,5
4.70833333,15.2,11.38897277,292,3.5,5
4.71875,14.9,11.28997595,295,3.3,5
4.72916667,14.7,11.28532876,293,3.1,5
4.73958333,14.4,11.36576474,295,3.1,5
4.75,14,11.1578467,296,3.2,5
4.76041667,13.6,10.76663686,295,3.4,5
4.77083333,13.3,10.29148744,293,3.4,5
4.78125,13.1,10.09615267,295,3.4,5
4.79166667,13,9.998483944,303,2.6,5
4.80208333,12.9,10.08198724,304,2.6,5
4.8125,12.8,9.984176782,307,2.5,5
4.82291667,12.8,10.16329642,305,2.5,5
4.83333333,13,10.71240906,306,2.2,5
4.84375,13.2,10.90884985,302,2.7,5
4.85416667,13.2,10.90884985,294,2.4,5
4.86458333,13.2,10.90884985,293,2.6,5
4.875,13.1,10.98466455,289,2.3,5
4.88541667,13.1,10.98466455,291,2.5,5
4.89583333,13.1,10.98466455,285,2.4,5
4.90625,13,11.05845614,284,2.4,5
4.91666667,12.9,10.95996669,282,2.4,5
4.92708333,13.1,11.32750863,287,2.2,5
4.9375,13.1,10.98466455,292,2.9,5
4.94791667,12.9,10.78795305,292,2.9,5
4.95833333,12.7,10.76298605,285,2.5,5
4.96875,12.6,10.49288103,285,2.8,5
4.97916667,12.7,10.41774273,283,2.9,5
4.98958333,12.5,10.22129508,284,2.8,5
5,12.5,10.04628246,288,2.5,5
5.01041667,12.6,9.788553347,287,2.7,5
5.02083333,12.4,9.592926546,280,2.7,5
5.03125,12.4,9.412452799,282,2.8,5
5.04166667,12.4,9.045603411,279,2.8,5
5.05208333,12.4,9.045603411,275,2.9,5
5.0625,12.2,8.850819654,277,2.6,5
5.07291667,12.1,8.753426274,274,2.1,5
5.08333333,11.8,8.461240124,266,2.1,5
5.09375,11.7,8.547269794,263,2.2,5
5.10416667,11.6,8.449729257,257,2,5
5.11458333,11.5,8.169044962,258,1.9,5
5.125,11.3,7.974243179,242,1.2,5
5.13541667,10.9,7.766918954,196,1.2,5
5.14583333,10.6,7.474271749,199,1.3,5
5.15625,10.3,7.361090201,218,0.9,5
5.16666667,10.4,7.636473365,208,0.8,5
5.17708333,10,7.420403603,164,0.3,5
5.1875,10,7.420403603,140,0.6,5
5.19791667,10,7.420403603,106,0.9,5
5.20833333,10.4,7.45878308,110,0.7,5
5.21875,10.5,7.556475064,113,0.5,5
5.22916667,10.6,7.654166154,132,0.6,5
5.23958333,10.2,7.790045008,116,1.1,5
5.25,10.8,8.20415041,111,1,5
5.26041667,11.5,8.889887425,111,0.7,5
5.27083333,12.6,9.053626088,148,0.7,5
5.28125,13.2,8.864994817,171,1.1,5
5.29166667,13.3,8.762797634,189,1.7,5
5.30208333,13.1,8.569812287,213,1.8,5
5.3125,13.1,8.569812287,213,1.7,5
5.32291667,13.3,8.561570577,221,1.7,5
5.33333333,14,8.82383713,238,1.9,5
5.34375,14.2,8.805655435,228,2.1,5
5.35416667,14.4,8.784156691,233,2.5,5
5.36458333,14.6,8.759255081,246,2.4,5
5.375,14.7,8.854771599,248,2.5,5
5.38541667,14.9,9.262560168,274,2.6,5
5.39583333,15.1,9.23682086,280,2.5,5
5.40625,15.1,9.23682086,268,2.9,5
5.41666667,15.5,9.618843229,275,2.9,5
5.42708333,15.5,9.618843229,268,3,5
5.4375,15.7,9.809844331,268,3.2,5
5.44791667,15.9,10.21924553,281,3,5
5.45833333,16.1,10.41056314,279,3.4,5
5.46875,16.3,10.81816002,279,3.6,5
5.47916667,16.3,11.03173913,279,4,5
5.48958333,16.4,11.12771682,282,3.7,5
5.5,16.4,11.12771682,281,3.7,5
5.51041667,16.7,11.41564088,276,3.6,5
5.52083333,16.8,11.51161256,277,3.9,5
5.53125,16.8,11.72335454,278,4.3,5
5.54166667,16.7,11.62722316,281,4.3,5
5.55208333,16.8,11.51161256,281,4.3,5
5.5625,17.1,11.79951857,283,4.1,5
5.57291667,17.1,11.79951857,280,4.2,5
5.58333333,17.2,11.89548424,284,4.1,5
5.59375,17.2,11.6804511,291,3.9,5
5.60416667,17.4,11.87205417,293,3.5,5
5.61458333,17.1,11.79951857,284,3.9,5
5.625,17.2,11.89548424,284,4.1,5
5.63541667,16.9,12.02880901,287,3.9,5
5.64583333,16.6,11.94628649,282,3.6,5
5.65625,16.3,11.65693835,282,3.4,5
5.66666667,16.2,11.56048631,286,3.2,5
5.67708333,15.5,11.28734075,292,3.4,5
5.6875,15.4,11.58311103,296,3.2,5
5.69791667,15.9,11.87254672,296,2.7,5
5.70833333,15.7,11.4808738,303,2.8,5
5.71875,15.7,11.67871745,306,2.7,5
5.72916667,15.4,11.38796482,309,2.6,5
5.73958333,14.9,11.48006246,305,2.6,5
5.75,14.4,10.9932207,305,2.9,5
5.76041667,13.9,10.50635392,306,2.3,5
5.77083333,13.5,10.11684248,309,2,5
5.78125,13.3,9.922080751,313,2.1,5
5.79166667,13.1,10.27760562,316,1.1,5
5.80208333,12.8,10.16329642,317,1.2,5
5.8125,12.8,9.984176782,319,1.5,5
5.82291667,12.7,9.522623046,324,1.3,5
5.83333333,12.7,9.522623046,323,1.2,5
5.84375,12.7,9.705472397,321,1.2,5
5.85416667,12.8,9.984176782,322,1.4,5
5.86458333,12.8,10.16329642,322,1.1,5
5.875,12.7,10.24245859,334,0.7,5
5.88541667,12.9,10.43863177,17,0.7,5
5.89583333,12.8,10.16329642,356,0.5,5
5.90625,12.7,10.06534662,360,0.5,5
5.91666667,12.5,9.690740367,5,0.4,5
5.92708333,12.6,9.788553347,7,0.7,5
5.9375,12.6,9.788553347,37,0.8,5
5.94791667,12.6,9.788553347,35,0.8,5
5.95833333,12.6,9.607800092,78,0.6,5
5.96875,12.3,9.314777811,80,0.3,5
5.97916667,11.8,9.006025943,89,0,5
5.98958333,11.4,8.967261031,89,0,5
6,11.5,9.065357574,62,0.3,5
6.01041667,11.3,8.869163751,0,0,5
6.02083333,11.2,8.771065734,43,0.3,5
6.03125,11.1,8.672966979,47,0.5,5
6.04166667,11.4,8.791927362,62,0.6,5
6.05208333,11.5,8.712564279,57,0.5,5
6.0625,11.2,8.596004869,56,0.6,5
6.07291667,10.7,8.280564587,42,0.3,5
6.08333333,10.6,8.354905672,53,0.7,5
6.09375,10.4,8.328845172,60,0.6,5
6.10416667,10.3,8.23047261,62,0.7,5
6.11458333,10.1,8.202025285,43,1.1,5
6.125,10,8.103518917,61,0.9,5
6.13541667,9.9,8.171370604,68,1,5
6.14583333,9.8,8.072732497,56,0.9,5
6.15625,9.7,7.974093856,47,0.9,5
6.16666667,9.9,8.171370604,50,0.9,5
6.17708333,9.7,7.807996312,42,1.1,5
6.1875,9.6,7.875454683,45,1.2,5
6.19791667,9.6,7.875454683,52,1.1,5
6.20833333,9.6,7.875454683,50,1.1,5
6.21875,9.6,7.875454683,49,1,5
6.22916667,9.5,7.776814976,41,1.1,5
6.23958333,9.4,7.678174737,41,1.1,5
6.25,9.5,7.776814976,38,1.2,5
6.26041667,10.2,8.300531069,43,1.3,5
6.27083333,10.9,8.649615192,43,1.2,5
6.28125,11.8,9.183762878,38,0.9,5
6.29166667,13,9.442596598,59,0.9,5
6.30208333,14.2,9.631165739,85,1.3,5
6.3125,15.1,9.453910209,80,1.4,5
6.32291667,16.1,9.970234579,71,0.9,5
6.33333333,16.8,9.951132555,37,0.9,5
6.34375,17.4,10.75280257,348,1.1,5
6.35416667,16.9,11.17576879,316,2.4,5
6.36458333,16.7,11.41564088,313,2.5,5
6.375,16.8,11.29722624,315,2.6,5
6.38541667,16.4,11.33882035,302,3.3,5
6.39583333,16.6,11.73994122,299,3.2,5
6.40625,16.8,12.1391786,303,3.6,5
6.41666667,16.9,12.64196963,304,3.7,5
6.42708333,16.9,12.84162319,303,3.8,5
6.4375,17.1,13.23310709,302,3.8,5
6.44791667,17.2,13.13232344,301,3.9,5
6.45833333,17.2,12.93221615,300,3.9,5
6.46875,17.3,13.02896255,299,3.8,5
6.47916667,17.8,12.89533743,297,3.2,5
6.48958333,18.1,12.75910758,300,3.6,5
6.5,18.4,12.8299758,301,3.7,5
6.51041667,19,12.9603923,307,3.4,5
6.52083333,19.7,12.93640309,303,2.6,5
6.53125,19.5,12.74656385,291,2.6,5
6.54166667,19.4,12.41522731,302,3.3,5
6.55208333,19.2,12.92447673,292,3.1,5
6.5625,18.8,12.99271656,291,3.6,5
6.57291667,19.1,11.89181768,295,3.7,5
6.58333333,18.8,11.8467054,288,3.8,5
6.59375,18.8,12.31426214,288,3.7,5
6.60416667,18.8,12.08206792,288,3.2,5
6.61458333,18.7,11.98713249,283,3,5
6.625,18.6,12.12404377,285,3.1,5
6.63541667,18.2,13.06904205,281,3.3,5
6.64583333,17.9,13.40590404,286,3.1,5
6.65625,17.4,13.52424959,268,3.5,5
6.66666667,17,13.52452458,268,3.5,5
6.67708333,16.9,13.61807204,272,3.6,5
6.6875,16.8,13.70926696,277,3.4,5
6.69791667,16.8,13.89593869,281,3.3,5
6.70833333,16.6,13.70038256,285,3.1,5
6.71875,16.4,13.31871901,292,3.1,5
6.72916667,16.1,13.21147752,300,3.1,5
6.73958333,16,13.11369399,304,3.2,5
6.75,15.6,12.90557055,298,2.2,5
6.76041667,15.1,12.77490063,294,2.5,5
6.77083333,14.7,12.7326875,302,2.2,5
6.78125,14.5,12.87886939,307,2.1,5
6.79166667,14.4,12.78012413,313,1.5,5
6.80208333,14.1,12.31368986,106,0.4,5
6.8125,13.8,11.67313484,106,0.7,5
6.82291667,13.6,11.64938057,150,0.4,5
6.83333333,12.9,10.95996669,149,0.1,5
6.84375,12.6,11.16921594,133,0.7,5
6.85416667,12.8,11.69588841,113,0.4,5
6.86458333,13,11.89416521,104,0.1,5
6.875,12.7,11.59674951,94,0.1,5
6.88541667,12.3,11.20019055,94,0.1,5
6.89583333,11.9,10.80362624,94,0,5
6.90625,11.5,10.56754181,319,0.2,5
6.91666667,11.8,11.02470738,342,0.2,5
6.92708333,12.1,11.16314875,323,0.1,5
6.9375,12,10.90276782,355,0.3,5
6.94791667,12,10.7401197,35,0.4,5
6.95833333,12.5,10.9038723,57,0.6,5
6.96875,13.2,10.55508774,56,0.5,5
6.97916667,12.8,10.34054555,41,0.5,5
6.98958333,13.2,10.1938205,51,1,5
7,13.6,10.21422184,65,1.2,5
7.01041667,13.9,9.934044475,39,1,5
7.02083333,12.6,9.053626088,22,1.2,5
7.03125,12.5,8.383759482,38,1.3,5
7.04166667,12.5,8.383759482,34,1.7,5
7.05208333,12.9,8.575053863,35,1.6,5
7.0625,13.1,8.569812287,42,1.5,5
7.07291667,13,8.27255278,43,1.5,5
7.08333333,12.6,8.087325599,32,1.6,5
7.09375,12.4,7.894321595,33,1.4,5
7.10416667,12.5,8.188448058,38,1.3,5
7.11458333,12.9,7.767602701,45,1.2,5
7.125,12.9,7.348703002,37,1.4,5
7.13541667,12.4,7.287435953,29,1.7,5
7.14583333,12.1,7.405424355,32,1.9,5
7.15625,12.4,7.492205877,29,1.9,5
7.16666667,12.7,7.575540516,29,1.6,5
7.17708333,12.9,6.918940108,34,1.5,5
7.1875,12.8,6.604578291,43,1.3,5
7.19791667,12.4,6.65746634,48,1.4,5
7.20833333,12,6.275235486,44,1.4,5
7.21875,11.6,6.104347906,38,1.4,5
7.22916667,11.7,6.200077264,37,1.5,5
7.23958333,11.4,6.121243895,34,1.5,5
