$T,,
,,
JDAY,EDH,2.134
1.9375,0.589,
1.94166667,0.58,
1.94583333,0.563,
1.95,0.547,
1.95416667,0.506,
1.95833333,0.479,
1.9625,0.46,
1.96666667,0.444,
1.97083333,0.438,
1.975,0.428,
1.97916667,0.427,
1.98333333,0.434,
1.9875,0.423,
1.99166667,0.403,
1.99583333,0.381,
2,0.359,
2.00416667,0.354,
2.00833333,0.368,
2.0125,0.381,
2.01666667,0.388,
2.02083333,0.398,
2.025,0.408,
2.02916667,0.409,
2.03333333,0.409,
2.0375,0.416,
2.04166667,0.43,
2.04583333,0.444,
2.05,0.46,
2.05416667,0.478,
2.05833333,0.506,
2.0625,0.528,
2.06666667,0.556,
2.07083333,0.578,
2.075,0.594,
2.07916667,0.621,
2.08333333,0.642,
2.0875,0.663,
2.09166667,0.682,
2.09583333,0.706,
2.1,0.747,
2.10416667,0.789,
2.10833333,0.827,
2.1125,0.854,
2.11666667,0.866,
2.12083333,0.882,
2.125,0.901,
2.12916667,0.94,
2.13333333,0.984,
2.1375,1.028,
2.14166667,1.064,
2.14583333,1.085,
2.15,1.105,
2.15416667,1.14,
2.15833333,1.184,
2.1625,1.204,
2.16666667,1.22,
2.17083333,1.238,
2.175,1.268,
2.17916667,1.319,
2.18333333,1.347,
2.1875,1.365,
2.19166667,1.375,
2.19583333,1.407,
2.2,1.439,
2.20416667,1.451,
2.20833333,1.464,
2.2125,1.473,
2.21666667,1.497,
2.22083333,1.526,
2.225,1.537,
2.22916667,1.559,
2.23333333,1.575,
2.2375,1.593,
2.24166667,1.585,
2.24583333,1.563,
2.25,1.554,
2.25416667,1.578,
2.25833333,1.6,
2.2625,1.605,
2.26666667,1.593,
2.27083333,1.57,
2.275,1.574,
2.27916667,1.561,
2.28333333,1.534,
2.2875,1.513,
2.29166667,1.491,
2.29583333,1.478,
2.3,1.478,
2.30416667,1.457,
2.30833333,1.426,
2.3125,1.395,
2.31666667,1.363,
2.32083333,1.328,
2.325,1.298,
2.32916667,1.275,
2.33333333,1.235,
2.3375,1.202,
2.34166667,1.16,
2.34583333,1.111,
2.35,1.076,
2.35416667,1.052,
2.35833333,1.015,
2.3625,0.963,
2.36666667,0.914,
2.37083333,0.859,
2.375,0.826,
2.37916667,0.799,
2.38333333,0.765,
2.3875,0.715,
2.39166667,0.672,
2.39583333,0.637,
2.4,0.587,
2.40416667,0.54,
2.40833333,0.494,
2.4125,0.446,
2.41666667,0.403,
2.42083333,0.371,
2.425,0.345,
2.42916667,0.31,
2.43333333,0.271,
2.4375,0.227,
2.44166667,0.173,
2.44583333,0.13,
2.45,0.1,
2.45416667,0.066,
2.45833333,0.025,
2.4625,-0.009,
2.46666667,-0.038,
2.47083333,-0.055,
2.475,-0.074,
2.47916667,-0.105,
2.48333333,-0.135,
2.4875,-0.172,
2.49166667,-0.21,
2.49583333,-0.225,
2.5,-0.237,
2.50416667,-0.256,
2.50833333,-0.263,
2.5125,-0.275,
2.51666667,-0.293,
2.52083333,-0.301,
2.525,-0.313,
2.52916667,-0.32,
2.53333333,-0.321,
2.5375,-0.323,
2.54166667,-0.31,
2.54583333,-0.291,
2.55,-0.268,
2.55416667,-0.254,
2.55833333,-0.249,
2.5625,-0.243,
2.56666667,-0.226,
2.57083333,-0.197,
2.575,-0.174,
2.57916667,-0.144,
2.58333333,-0.113,
2.5875,-0.082,
2.59166667,-0.049,
2.59583333,-0.019,
2.6,0.012,
2.60416667,0.048,
2.60833333,0.081,
2.6125,0.125,
2.61666667,0.166,
2.62083333,0.201,
2.625,0.233,
2.62916667,0.267,
2.63333333,0.31,
2.6375,0.348,
2.64166667,0.393,
2.64583333,0.441,
2.65,0.478,
2.65416667,0.528,
2.65833333,0.577,
2.6625,0.616,
2.66666667,0.664,
2.67083333,0.698,
2.675,0.738,
2.67916667,0.772,
2.68333333,0.805,
2.6875,0.865,
2.69166667,0.924,
2.69583333,0.969,
2.7,1.004,
2.70416667,1.031,
2.70833333,1.056,
2.7125,1.098,
2.71666667,1.147,
2.72083333,1.193,
2.725,1.231,
2.72916667,1.268,
2.73333333,1.308,
2.7375,1.335,
2.74166667,1.359,
2.74583333,1.36,
2.75,1.369,
2.75416667,1.402,
2.75833333,1.447,
2.7625,1.481,
2.76666667,1.504,
2.77083333,1.514,
2.775,1.517,
2.77916667,1.525,
2.78333333,1.532,
2.7875,1.52,
2.79166667,1.518,
2.79583333,1.52,
2.8,1.523,
2.80416667,1.537,
2.80833333,1.54,
2.8125,1.526,
2.81666667,1.52,
2.82083333,1.502,
2.825,1.477,
2.82916667,1.453,
2.83333333,1.436,
2.8375,1.408,
2.84166667,1.391,
2.84583333,1.375,
2.85,1.36,
2.85416667,1.339,
2.85833333,1.299,
2.8625,1.259,
2.86666667,1.226,
2.87083333,1.199,
2.875,1.177,
2.87916667,1.149,
2.88333333,1.121,
2.8875,1.105,
2.89166667,1.079,
2.89583333,1.034,
2.9,0.99,
2.90416667,0.949,
2.90833333,0.92,
2.9125,0.891,
2.91666667,0.854,
2.92083333,0.827,
2.925,0.801,
2.92916667,0.785,
2.93333333,0.762,
2.9375,0.719,
2.94166667,0.675,
2.94583333,0.631,
2.95,0.599,
2.95416667,0.569,
2.95833333,0.532,
2.9625,0.505,
2.96666667,0.487,
2.97083333,0.475,
2.975,0.453,
2.97916667,0.411,
2.98333333,0.358,
2.9875,0.313,
2.99166667,0.294,
2.99583333,0.287,
3,0.278,
3.00416667,0.253,
3.00833333,0.234,
3.0125,0.218,
3.01666667,0.21,
3.02083333,0.202,
3.025,0.174,
3.02916667,0.15,
3.03333333,0.136,
3.0375,0.129,
3.04166667,0.136,
3.04583333,0.14,
3.05,0.152,
3.05416667,0.165,
3.05833333,0.173,
3.0625,0.185,
3.06666667,0.189,
3.07083333,0.189,
3.075,0.204,
3.07916667,0.226,
3.08333333,0.252,
3.0875,0.283,
3.09166667,0.312,
3.09583333,0.344,
3.1,0.362,
3.10416667,0.389,
3.10833333,0.42,
3.1125,0.447,
3.11666667,0.478,
3.12083333,0.517,
3.125,0.551,
3.12916667,0.581,
3.13333333,0.623,
3.1375,0.662,
3.14166667,0.702,
3.14583333,0.73,
3.15,0.768,
3.15416667,0.805,
3.15833333,0.839,
3.1625,0.885,
3.16666667,0.921,
3.17083333,0.952,
3.175,0.996,
3.17916667,1.044,
3.18333333,1.091,
3.1875,1.12,
3.19166667,1.14,
3.19583333,1.161,
3.2,1.186,
3.20416667,1.235,
3.20833333,1.291,
3.2125,1.341,
3.21666667,1.373,
3.22083333,1.4,
3.225,1.419,
3.22916667,1.433,
3.23333333,1.445,
3.2375,1.465,
3.24166667,1.502,
3.24583333,1.535,
3.25,1.576,
3.25416667,1.587,
3.25833333,1.598,
3.2625,1.614,
3.26666667,1.633,
3.27083333,1.645,
3.275,1.64,
3.27916667,1.641,
3.28333333,1.635,
3.2875,1.642,
3.29166667,1.642,
3.29583333,1.63,
3.3,1.641,
3.30416667,1.647,
3.30833333,1.64,
3.3125,1.634,
3.31666667,1.598,
3.32083333,1.566,
3.325,1.55,
3.32916667,1.542,
3.33333333,1.518,
3.3375,1.49,
3.34166667,1.472,
3.34583333,1.446,
3.35,1.423,
3.35416667,1.398,
3.35833333,1.347,
3.3625,1.292,
3.36666667,1.249,
3.37083333,1.221,
3.375,1.197,
3.37916667,1.176,
3.38333333,1.137,
3.3875,1.088,
3.39166667,1.035,
3.39583333,0.986,
3.4,0.94,
3.40416667,0.89,
3.40833333,0.857,
3.4125,0.815,
3.41666667,0.769,
3.42083333,0.739,
3.425,0.693,
3.42916667,0.645,
3.43333333,0.6,
3.4375,0.55,
3.44166667,0.506,
3.44583333,0.46,
3.45,0.427,
3.45416667,0.387,
3.45833333,0.342,
3.4625,0.304,
3.46666667,0.264,
3.47083333,0.222,
3.475,0.188,
3.47916667,0.145,
3.48333333,0.106,
3.4875,0.063,
3.49166667,0.036,
3.49583333,0.016,
3.5,-0.009,
3.50416667,-0.032,
3.50833333,-0.052,
3.5125,-0.08,
3.51666667,-0.104,
3.52083333,-0.145,
3.525,-0.177,
3.52916667,-0.187,
3.53333333,-0.195,
3.5375,-0.195,
3.54166667,-0.187,
3.54583333,-0.194,
3.55,-0.205,
3.55416667,-0.213,
3.55833333,-0.22,
3.5625,-0.224,
3.56666667,-0.217,
3.57083333,-0.192,
3.575,-0.156,
3.57916667,-0.133,
3.58333333,-0.121,
3.5875,-0.115,
3.59166667,-0.111,
3.59583333,-0.09,
3.6,-0.062,
3.60416667,-0.018,
3.60833333,0.026,
3.6125,0.06,
3.61666667,0.093,
3.62083333,0.13,
3.625,0.161,
3.62916667,0.191,
3.63333333,0.22,
3.6375,0.247,
3.64166667,0.285,
3.64583333,0.34,
3.65,0.386,
3.65416667,0.418,
3.65833333,0.459,
3.6625,0.51,
3.66666667,0.561,
3.67083333,0.615,
3.675,0.643,
3.67916667,0.676,
3.68333333,0.71,
3.6875,0.745,
3.69166667,0.804,
3.69583333,0.857,
3.7,0.91,
3.70416667,0.972,
3.70833333,1.011,
3.7125,1.052,
3.71666667,1.089,
3.72083333,1.127,
3.725,1.169,
3.72916667,1.209,
3.73333333,1.251,
3.7375,1.302,
3.74166667,1.349,
3.74583333,1.389,
3.75,1.421,
3.75416667,1.45,
3.75833333,1.483,
3.7625,1.515,
3.76666667,1.539,
3.77083333,1.565,
3.775,1.604,
3.77916667,1.626,
3.78333333,1.641,
3.7875,1.654,
3.79166667,1.661,
3.79583333,1.684,
3.8,1.706,
3.80416667,1.698,
3.80833333,1.695,
3.8125,1.713,
3.81666667,1.71,
3.82083333,1.703,
3.825,1.7,
3.82916667,1.697,
3.83333333,1.696,
3.8375,1.687,
3.84166667,1.652,
3.84583333,1.619,
3.85,1.603,
3.85416667,1.582,
3.85833333,1.556,
3.8625,1.539,
3.86666667,1.53,
3.87083333,1.518,
3.875,1.486,
3.87916667,1.419,
3.88333333,1.376,
3.8875,1.355,
3.89166667,1.32,
3.89583333,1.278,
3.9,1.233,
3.90416667,1.189,
3.90833333,1.168,
3.9125,1.149,
3.91666667,1.103,
3.92083333,1.048,
3.925,0.997,
3.92916667,0.943,
3.93333333,0.899,
3.9375,0.854,
3.94166667,0.812,
3.94583333,0.787,
3.95,0.755,
3.95416667,0.722,
3.95833333,0.676,
3.9625,0.612,
3.96666667,0.557,
3.97083333,0.524,
3.975,0.494,
3.97916667,0.467,
3.98333333,0.433,
3.9875,0.386,
3.99166667,0.353,
3.99583333,0.314,
4,0.275,
4.00416667,0.235,
4.00833333,0.194,
4.0125,0.172,
4.01666667,0.162,
4.02083333,0.138,
4.025,0.111,
4.02916667,0.079,
4.03333333,0.056,
4.0375,0.036,
4.04166667,0.016,
4.04583333,-0.005,
4.05,-0.033,
4.05416667,-0.038,
4.05833333,-0.047,
4.0625,-0.057,
4.06666667,-0.054,
4.07083333,-0.051,
4.075,-0.046,
4.07916667,-0.04,
4.08333333,-0.042,
4.0875,-0.044,
4.09166667,-0.051,
4.09583333,-0.046,
4.1,-0.025,
4.10416667,-0.003,
4.10833333,0.023,
4.1125,0.042,
4.11666667,0.068,
4.12083333,0.088,
4.125,0.103,
4.12916667,0.133,
4.13333333,0.163,
4.1375,0.193,
4.14166667,0.225,
4.14583333,0.261,
4.15,0.302,
4.15416667,0.333,
4.15833333,0.37,
4.1625,0.403,
4.16666667,0.445,
4.17083333,0.491,
4.175,0.523,
4.17916667,0.555,
4.18333333,0.599,
4.1875,0.66,
4.19166667,0.721,
4.19583333,0.774,
4.2,0.791,
4.20416667,0.8,
4.20833333,0.838,
4.2125,0.896,
4.21666667,0.96,
4.22083333,1.014,
4.225,1.054,
4.22916667,1.095,
4.23333333,1.125,
4.2375,1.16,
4.24166667,1.185,
4.24583333,1.21,
4.25,1.256,
4.25416667,1.317,
4.25833333,1.366,
4.2625,1.386,
4.26666667,1.402,
4.27083333,1.415,
4.275,1.431,
4.27916667,1.461,
4.28333333,1.498,
4.2875,1.521,
4.29166667,1.548,
4.29583333,1.563,
4.3,1.564,
4.30416667,1.565,
4.30833333,1.572,
4.3125,1.585,
4.31666667,1.6,
4.32083333,1.613,
4.325,1.605,
4.32916667,1.581,
4.33333333,1.582,
4.3375,1.565,
4.34166667,1.553,
4.34583333,1.552,
4.35,1.546,
4.35416667,1.547,
4.35833333,1.53,
4.3625,1.49,
4.36666667,1.431,
4.37083333,1.402,
4.375,1.389,
4.37916667,1.367,
4.38333333,1.346,
4.3875,1.319,
4.39166667,1.285,
4.39583333,1.248,
4.4,1.2,
4.40416667,1.144,
4.40833333,1.103,
4.4125,1.08,
4.41666667,1.04,
4.42083333,0.988,
4.425,0.945,
4.42916667,0.91,
4.43333333,0.868,
4.4375,0.822,
4.44166667,0.773,
4.44583333,0.729,
4.45,0.697,
4.45416667,0.673,
4.45833333,0.627,
4.4625,0.571,
4.46666667,0.525,
4.47083333,0.486,
4.475,0.454,
4.47916667,0.42,
4.48333333,0.375,
4.4875,0.332,
4.49166667,0.292,
4.49583333,0.256,
4.5,0.231,
4.50416667,0.201,
4.50833333,0.163,
4.5125,0.128,
4.51666667,0.098,
4.52083333,0.067,
4.525,0.048,
4.52916667,0.034,
4.53333333,0.006,
4.5375,-0.029,
4.54166667,-0.062,
4.54583333,-0.08,
4.55,-0.09,
4.55416667,-0.101,
4.55833333,-0.113,
4.5625,-0.109,
4.56666667,-0.109,
4.57083333,-0.12,
4.575,-0.128,
4.57916667,-0.146,
4.58333333,-0.153,
4.5875,-0.146,
4.59166667,-0.124,
4.59583333,-0.112,
4.6,-0.097,
4.60416667,-0.078,
4.60833333,-0.057,
4.6125,-0.044,
4.61666667,-0.026,
4.62083333,-0.009,
4.625,0.021,
4.62916667,0.063,
4.63333333,0.108,
4.6375,0.142,
4.64166667,0.169,
4.64583333,0.192,
4.65,0.227,
4.65416667,0.272,
4.65833333,0.311,
4.6625,0.344,
4.66666667,0.383,
4.67083333,0.431,
4.675,0.486,
4.67916667,0.533,
4.68333333,0.581,
4.6875,0.625,
4.69166667,0.67,
4.69583333,0.708,
4.7,0.742,
4.70416667,0.784,
4.70833333,0.826,
4.7125,0.89,
4.71666667,0.959,
4.72083333,1.001,
4.725,1.049,
4.72916667,1.089,
4.73333333,1.137,
4.7375,1.174,
4.74166667,1.209,
4.74583333,1.255,
4.75,1.303,
4.75416667,1.362,
4.75833333,1.401,
4.7625,1.429,
4.76666667,1.461,
4.77083333,1.496,
4.775,1.537,
4.77916667,1.574,
4.78333333,1.607,
4.7875,1.632,
4.79166667,1.662,
4.79583333,1.675,
4.8,1.694,
4.80416667,1.732,
4.80833333,1.761,
4.8125,1.781,
4.81666667,1.788,
4.82083333,1.785,
4.825,1.791,
4.82916667,1.795,
4.83333333,1.799,
4.8375,1.788,
4.84166667,1.797,
4.84583333,1.811,
4.85,1.801,
4.85416667,1.789,
4.85833333,1.751,
4.8625,1.735,
4.86666667,1.725,
4.87083333,1.698,
4.875,1.66,
4.87916667,1.629,
4.88333333,1.602,
4.8875,1.59,
4.89166667,1.567,
4.89583333,1.523,
4.9,1.48,
4.90416667,1.44,
4.90833333,1.401,
4.9125,1.36,
4.91666667,1.317,
4.92083333,1.262,
4.925,1.223,
4.92916667,1.194,
4.93333333,1.156,
4.9375,1.113,
4.94166667,1.061,
4.94583333,1.007,
4.95,0.969,
4.95416667,0.924,
4.95833333,0.873,
4.9625,0.822,
4.96666667,0.78,
4.97083333,0.735,
4.975,0.699,
4.97916667,0.655,
4.98333333,0.6,
4.9875,0.548,
4.99166667,0.499,
4.99583333,0.446,
5,0.393,
5.00416667,0.351,
5.00833333,0.324,
5.0125,0.291,
5.01666667,0.266,
5.02083333,0.226,
5.025,0.172,
5.02916667,0.115,
5.03333333,0.062,
5.0375,0.026,
5.04166667,0.002,
5.04583333,-0.02,
5.05,-0.031,
5.05416667,-0.051,
5.05833333,-0.078,
5.0625,-0.107,
5.06666667,-0.136,
5.07083333,-0.171,
5.075,-0.209,
5.07916667,-0.216,
5.08333333,-0.206,
5.0875,-0.208,
5.09166667,-0.215,
5.09583333,-0.227,
5.1,-0.24,
5.10416667,-0.242,
5.10833333,-0.234,
5.1125,-0.229,
5.11666667,-0.226,
5.12083333,-0.221,
5.125,-0.191,
5.12916667,-0.163,
5.13333333,-0.148,
5.1375,-0.132,
5.14166667,-0.121,
5.14583333,-0.101,
5.15,-0.074,
5.15416667,-0.047,
5.15833333,-0.018,
5.1625,0.008,
5.16666667,0.052,
5.17083333,0.106,
5.175,0.158,
5.17916667,0.192,
5.18333333,0.216,
5.1875,0.236,
5.19166667,0.255,
5.19583333,0.293,
5.2,0.343,
5.20416667,0.4,
5.20833333,0.452,
5.2125,0.499,
5.21666667,0.54,
5.22083333,0.573,
5.225,0.593,
5.22916667,0.626,
5.23333333,0.656,
5.2375,0.699,
5.24166667,0.755,
5.24583333,0.815,
5.25,0.867,
5.25416667,0.904,
5.25833333,0.934,
5.2625,0.967,
5.26666667,0.998,
5.27083333,1.033,
5.275,1.077,
5.27916667,1.108,
5.28333333,1.137,
5.2875,1.189,
5.29166667,1.227,
5.29583333,1.258,
5.3,1.285,
5.30416667,1.308,
5.30833333,1.327,
5.3125,1.355,
5.31666667,1.371,
5.32083333,1.382,
5.325,1.403,
5.32916667,1.433,
5.33333333,1.459,
5.3375,1.47,
5.34166667,1.464,
5.34583333,1.457,
5.35,1.46,
5.35416667,1.465,
5.35833333,1.465,
5.3625,1.457,
5.36666667,1.456,
5.37083333,1.462,
5.375,1.462,
5.37916667,1.442,
5.38333333,1.405,
5.3875,1.371,
5.39166667,1.353,
5.39583333,1.337,
5.4,1.332,
5.40416667,1.312,
5.40833333,1.285,
5.4125,1.269,
5.41666667,1.238,
5.42083333,1.194,
5.425,1.15,
5.42916667,1.113,
5.43333333,1.083,
5.4375,1.061,
5.44166667,1.024,
5.44583333,0.99,
5.45,0.953,
5.45416667,0.914,
5.45833333,0.872,
5.4625,0.831,
5.46666667,0.802,
5.47083333,0.758,
5.475,0.717,
5.47916667,0.672,
5.48333333,0.63,
5.4875,0.595,
5.49166667,0.568,
5.49583333,0.541,
5.5,0.498,
5.50416667,0.455,
5.50833333,0.415,
5.5125,0.367,
5.51666667,0.331,
5.52083333,0.301,
5.525,0.279,
5.52916667,0.266,
5.53333333,0.242,
5.5375,0.204,
5.54166667,0.174,
5.54583333,0.141,
5.55,0.113,
5.55416667,0.089,
5.55833333,0.068,
5.5625,0.058,
5.56666667,0.048,
5.57083333,0.041,
5.575,0.03,
5.57916667,0.012,
5.58333333,-0.001,
5.5875,-0.002,
5.59166667,-0.003,
5.59583333,-0.004,
5.6,-0.006,
5.60416667,0.001,
5.60833333,0.005,
5.6125,0.02,
5.61666667,0.038,
5.62083333,0.04,
5.625,0.046,
5.62916667,0.062,
5.63333333,0.075,
5.6375,0.105,
5.64166667,0.142,
5.64583333,0.176,
5.65,0.201,
5.65416667,0.23,
5.65833333,0.246,
5.6625,0.267,
5.66666667,0.296,
5.67083333,0.332,
5.675,0.369,
5.67916667,0.411,
5.68333333,0.457,
5.6875,0.501,
5.69166667,0.536,
5.69583333,0.566,
5.7,0.601,
5.70416667,0.631,
5.70833333,0.679,
5.7125,0.736,
5.71666667,0.782,
5.72083333,0.83,
5.725,0.883,
5.72916667,0.921,
5.73333333,0.96,
5.7375,1,
5.74166667,1.04,
5.74583333,1.09,
5.75,1.145,
5.75416667,1.195,
5.75833333,1.243,
5.7625,1.286,
5.76666667,1.326,
5.77083333,1.372,
5.775,1.414,
5.77916667,1.459,
5.78333333,1.496,
5.7875,1.527,
5.79166667,1.561,
5.79583333,1.597,
5.8,1.637,
5.80416667,1.667,
5.80833333,1.699,
5.8125,1.724,
5.81666667,1.745,
5.82083333,1.766,
5.825,1.79,
5.82916667,1.815,
5.83333333,1.834,
5.8375,1.85,
5.84166667,1.846,
5.84583333,1.85,
5.85,1.853,
5.85416667,1.859,
5.85833333,1.852,
5.8625,1.845,
5.86666667,1.835,
5.87083333,1.838,
5.875,1.842,
5.87916667,1.822,
5.88333333,1.794,
5.8875,1.773,
5.89166667,1.751,
5.89583333,1.722,
5.9,1.694,
5.90416667,1.662,
5.90833333,1.637,
5.9125,1.613,
5.91666667,1.58,
5.92083333,1.542,
5.925,1.509,
5.92916667,1.467,
5.93333333,1.419,
5.9375,1.37,
5.94166667,1.324,
5.94583333,1.289,
5.95,1.254,
5.95416667,1.208,
5.95833333,1.144,
5.9625,1.087,
5.96666667,1.041,
5.97083333,1.007,
5.975,0.971,
5.97916667,0.924,
5.98333333,0.871,
5.9875,0.824,
5.99166667,0.783,
5.99583333,0.733,
6,0.678,
6.00416667,0.62,
6.00833333,0.573,
6.0125,0.527,
6.01666667,0.488,
6.02083333,0.44,
6.025,0.374,
6.02916667,0.32,
6.03333333,0.284,
6.0375,0.252,
6.04166667,0.217,
6.04583333,0.176,
6.05,0.136,
6.05416667,0.079,
6.05833333,0.029,
6.0625,-0.01,
6.06666667,-0.054,
6.07083333,-0.079,
6.075,-0.095,
6.07916667,-0.122,
6.08333333,-0.151,
6.0875,-0.188,
6.09166667,-0.217,
6.09583333,-0.237,
6.1,-0.261,
6.10416667,-0.277,
6.10833333,-0.288,
6.1125,-0.3,
6.11666667,-0.308,
6.12083333,-0.32,
6.125,-0.334,
6.12916667,-0.346,
6.13333333,-0.346,
6.1375,-0.331,
6.14166667,-0.312,
6.14583333,-0.303,
6.15,-0.299,
6.15416667,-0.29,
6.15833333,-0.282,
6.1625,-0.265,
6.16666667,-0.23,
6.17083333,-0.206,
6.175,-0.189,
6.17916667,-0.169,
6.18333333,-0.149,
6.1875,-0.119,
6.19166667,-0.087,
6.19583333,-0.054,
6.2,-0.017,
6.20416667,0.022,
6.20833333,0.052,
6.2125,0.085,
6.21666667,0.122,
6.22083333,0.154,
6.225,0.189,
6.22916667,0.228,
6.23333333,0.266,
6.2375,0.309,
6.24166667,0.363,
6.24583333,0.403,
6.25,0.436,
6.25416667,0.467,
6.25833333,0.506,
6.2625,0.54,
6.26666667,0.592,
6.27083333,0.64,
6.275,0.677,
6.27916667,0.724,
6.28333333,0.762,
6.2875,0.805,
6.29166667,0.836,
6.29583333,0.874,
6.3,0.913,
6.30416667,0.949,
6.30833333,0.982,
6.3125,1.005,
6.31666667,1.05,
6.32083333,1.089,
6.325,1.125,
6.32916667,1.154,
6.33333333,1.179,
6.3375,1.196,
6.34166667,1.217,
6.34583333,1.234,
6.35,1.251,
6.35416667,1.285,
6.35833333,1.322,
6.3625,1.334,
6.36666667,1.333,
6.37083333,1.317,
6.375,1.318,
6.37916667,1.334,
6.38333333,1.344,
6.3875,1.348,
6.39166667,1.345,
6.39583333,1.344,
6.4,1.337,
6.40416667,1.317,
6.40833333,1.293,
6.4125,1.273,
6.41666667,1.272,
6.42083333,1.263,
6.425,1.249,
6.42916667,1.232,
6.43333333,1.212,
6.4375,1.179,
6.44166667,1.151,
6.44583333,1.118,
6.45,1.082,
6.45416667,1.069,
6.45833333,1.045,
6.4625,1.021,
