$T,
2.733333333,22.5
2.7375,22.5
2.741666667,22.5
2.745833333,22.5
2.75,22.5
2.754166667,22.5
2.758333333,22.5
2.7625,22.5
2.766666667,22.5
2.770833333,22.5
2.775,22.5
2.779166667,22.5
2.783333333,22.5
2.7875,22.5
2.791666667,22.5
2.795833333,22.5
2.8,22.5
2.804166667,22.5
2.808333333,22.5
2.8125,22.5
2.816666667,22.5
2.820833333,22.5
2.825,22.5
2.829166667,22.5
2.833333333,22.5
2.8375,22.5
2.841666667,22.5
2.845833333,22.5
2.85,22.5
2.854166667,22.5
2.858333333,22.5
2.8625,22.5
2.866666667,22.5
2.870833333,22.5
2.875,22.5
2.879166667,22.5
2.883333333,22.5
2.8875,22.5
2.891666667,22.5
2.895833333,22.5
2.9,22.5
2.904166667,22.5
2.908333333,22.5
2.9125,22.5
2.916666667,22.5
2.920833333,22.5
2.925,22.5
2.929166667,22.5
2.933333333,22.5
2.9375,22.5
2.941666667,22.5
2.945833333,22.5
2.95,22.5
2.954166667,22.5
2.958333333,22.5
2.9625,22.5
2.966666667,22.5
2.970833333,22.5
2.975,22.5
2.979166667,22.5
2.983333333,22.5
2.9875,22.5
2.991666667,22.5
2.995833333,22.5
3,22.5
3.004166667,22.5
3.008333333,22.5
3.0125,22.5
3.016666667,22.5
3.020833333,22.5
3.025,22.5
3.029166667,22.5
3.033333333,22.5
3.0375,22.5
3.041666667,22.5
3.045833333,22.5
3.05,22.5
3.054166667,22.5
3.058333333,22.5
3.0625,22.5
3.066666667,22.5
3.070833333,22.5
3.075,22.5
3.079166667,22.5
3.083333333,22.5
3.0875,22.5
3.091666667,22.5
3.095833333,22.5
3.1,22.5
3.104166667,22.5
3.108333333,22.5
3.1125,22.5
3.116666667,22.5
3.120833333,22.5
3.125,22.5
3.129166667,22.5
3.133333333,22.5
3.1375,22.5
3.141666667,22.5
3.145833333,22.5
3.15,22.5
3.154166667,22.5
3.158333333,22.5
3.1625,22.5
3.166666667,22.5
3.170833333,22.5
3.175,22.5
3.179166667,22.5
3.183333333,22.5
3.1875,22.5
3.191666667,22.5
3.195833333,22.5
3.2,22.5
3.204166667,22.5
3.208333333,22.5
3.2125,22.5
3.216666667,22.5
3.220833333,22.5
3.225,22.5
3.229166667,22.5
3.233333333,22.5
3.2375,22.5
3.241666667,22.5
3.245833333,22.5
3.25,22.5
3.254166667,22.5
3.258333333,22.5
3.2625,22.5
3.266666667,22.5
3.270833333,22.5
3.275,22.5
3.279166667,22.5
3.283333333,22.5
3.2875,22.5
3.291666667,22.5
3.295833333,22.5
3.3,22.5
3.304166667,22.5
3.308333333,22.5
3.3125,22.5
3.316666667,22.5
3.320833333,22.5
3.325,22.5
3.329166667,22.5
3.333333333,22.5
3.3375,22.5
3.341666667,22.5
3.345833333,22.5
3.35,22.5
3.354166667,22.5
3.358333333,22.5
3.3625,22.5
3.366666667,22.5
3.370833333,22.5
3.375,22.5
3.379166667,22.5
3.383333333,22.5
3.3875,22.5
3.391666667,22.5
3.395833333,22.5
3.4,22.5
3.404166667,22.5
3.408333333,22.5
3.4125,22.5
3.416666667,22.5
3.420833333,22.5
3.425,22.5
3.429166667,22.5
3.433333333,22.5
3.4375,22.5
3.441666667,22.5
3.445833333,22.5
3.45,22.5
3.454166667,22.5
3.458333333,22.5
3.4625,22.5
3.466666667,22.5
3.470833333,22.5
3.475,22.5
3.479166667,22.5
3.483333333,22.5
3.4875,22.5
3.491666667,22.5
3.495833333,22.5
3.5,22.5
3.504166667,22.5
3.508333333,22.5
3.5125,22.5
3.516666667,22.5
3.520833333,22.5
3.525,22.5
3.529166667,22.5
3.533333333,22.5
3.5375,22.5
3.541666667,22.5
3.545833333,22.5
3.55,22.5
3.554166667,22.5
3.558333333,22.5
3.5625,22.5
3.566666667,22.5
3.570833333,22.5
3.575,22.5
3.579166667,22.5
3.583333333,22.5
3.5875,22.5
3.591666667,22.5
3.595833333,22.5
3.6,22.5
3.604166667,22.5
3.608333333,22.5
3.6125,22.5
3.616666667,22.5
3.620833333,22.5
3.625,22.5
3.629166667,22.5
3.633333333,22.5
3.6375,22.5
3.641666667,22.5
3.645833333,22.5
3.65,22.5
3.654166667,22.5
3.658333333,22.5
3.6625,22.5
3.666666667,22.5
3.670833333,22.5
3.675,22.5
3.679166667,22.5
3.683333333,22.5
3.6875,22.5
3.691666667,22.5
3.695833333,22.5
3.7,22.5
3.704166667,22.5
3.708333333,22.5
3.7125,22.5
3.716666667,22.5
3.720833333,22.5
3.725,22.5
3.729166667,22.5
3.733333333,22.5
3.7375,22.5
3.741666667,22.5
3.745833333,22.5
3.75,22.5
3.754166667,22.5
3.758333333,22.5
3.7625,22.5
3.766666667,22.5
3.770833333,22.5
3.775,22.5
3.779166667,22.5
3.783333333,22.5
3.7875,22.5
3.791666667,22.5
3.795833333,22.5
3.8,22.5
3.804166667,22.5
3.808333333,22.5
3.8125,22.5
3.816666667,22.5
3.820833333,22.5
3.825,22.5
3.829166667,22.5
3.833333333,22.5
3.8375,22.5
3.841666667,22.5
3.845833333,22.5
3.85,22.5
3.854166667,22.5
3.858333333,22.5
3.8625,22.5
3.866666667,22.5
3.870833333,22.5
3.875,22.5
3.879166667,22.5
3.883333333,22.5
3.8875,22.5
3.891666667,22.5
3.895833333,22.5
3.9,22.5
3.904166667,22.5
3.908333333,22.5
3.9125,22.5
3.916666667,22.5
3.920833333,22.5
3.925,22.5
3.929166667,22.5
3.933333333,22.5
3.9375,22.5
3.941666667,22.5
3.945833333,22.5
3.95,22.5
3.954166667,22.5
3.958333333,22.5
3.9625,22.5
3.966666667,22.5
3.970833333,22.5
3.975,22.5
3.979166667,22.5
3.983333333,22.5
3.9875,22.5
3.991666667,22.5
3.995833333,22.5
4,22.5
4.004166667,22.5
4.008333333,22.5
4.0125,22.5
4.016666667,22.5
4.020833333,22.5
4.025,22.5
4.029166667,22.5
4.033333333,22.5
4.0375,22.5
4.041666667,22.5
4.045833333,22.5
4.05,22.5
4.054166667,22.5
4.058333333,22.5
4.0625,22.5
4.066666667,22.5
4.070833333,22.5
4.075,22.5
4.079166667,22.5
4.083333333,22.5
4.0875,22.5
4.091666667,22.5
4.095833333,22.5
4.1,22.5
4.104166667,22.5
4.108333333,22.5
4.1125,22.5
4.116666667,22.5
4.120833333,22.5
4.125,22.5
4.129166667,22.5
4.133333333,22.5
4.1375,22.5
4.141666667,22.5
4.145833333,22.5
4.15,22.5
4.154166667,22.5
4.158333333,22.5
4.1625,22.5
4.166666667,22.5
4.170833333,22.5
4.175,22.5
4.179166667,22.5
4.183333333,22.5
4.1875,22.5
4.191666667,22.5
4.195833333,22.5
4.2,22.5
4.204166667,22.5
4.208333333,22.5
4.2125,22.5
4.216666667,22.5
4.220833333,22.5
4.225,22.5
4.229166667,22.5
4.233333333,22.5
4.2375,22.5
4.241666667,22.5
4.245833333,22.5
4.25,22.5
4.254166667,22.5
4.258333333,22.5
4.2625,22.5
4.266666667,22.5
4.270833333,22.5
4.275,22.5
4.279166667,22.5
4.283333333,22.5
4.2875,22.5
4.291666667,22.5
4.295833333,22.5
4.3,22.5
4.304166667,22.5
4.308333333,22.5
4.3125,22.5
4.316666667,22.5
4.320833333,22.5
4.325,22.5
4.329166667,22.5
4.333333333,22.5
4.3375,22.5
4.341666667,22.5
4.345833333,22.5
4.35,22.5
4.354166667,22.5
4.358333333,22.5
4.3625,22.5
4.366666667,22.5
4.370833333,22.5
4.375,22.5
4.379166667,22.5
4.383333333,22.5
4.3875,22.5
4.391666667,22.5
4.395833333,22.5
4.4,22.5
4.404166667,22.5
4.408333333,22.5
4.4125,22.5
4.416666667,22.5
4.420833333,22.5
4.425,22.5
4.429166667,22.5
4.433333333,22.5
4.4375,22.5
4.441666667,22.5
4.445833333,22.5
4.45,22.5
4.454166667,22.5
4.458333333,22.5
4.4625,22.5
4.466666667,22.5
4.470833333,22.5
4.475,22.5
4.479166667,22.5
4.483333333,22.5
4.4875,22.5
4.491666667,22.5
4.495833333,22.5
4.5,22.5
4.504166667,22.5
4.508333333,22.5
4.5125,22.5
4.516666667,22.5
4.520833333,22.5
4.525,22.5
4.529166667,22.5
4.533333333,22.5
4.5375,22.5
4.541666667,22.5
4.545833333,22.5
4.55,22.5
4.554166667,22.5
4.558333333,22.5
4.5625,22.5
4.566666667,22.5
4.570833333,22.5
4.575,22.5
4.579166667,22.5
4.583333333,22.5
4.5875,22.5
4.591666667,22.5
4.595833333,22.5
4.6,22.5
4.604166667,22.5
4.608333333,22.5
4.6125,22.5
4.616666667,22.5
4.620833333,22.5
4.625,22.5
4.629166667,22.5
4.633333333,22.5
4.6375,22.5
4.641666667,22.5
4.645833333,22.5
4.65,22.5
4.654166667,22.5
4.658333333,22.5
4.6625,22.5
4.666666667,22.5
4.670833333,22.5
4.675,22.5
4.679166667,22.5
4.683333333,22.5
4.6875,22.5
4.691666667,22.5
4.695833333,22.5
4.7,22.5
4.704166667,22.5
4.708333333,22.5
4.7125,22.5
4.716666667,22.5
4.720833333,22.5
4.725,22.5
4.729166667,22.5
4.733333333,22.5
4.7375,22.5
4.741666667,22.5
4.745833333,22.5
4.75,22.5
4.754166667,22.5
4.758333333,22.5
4.7625,22.5
4.766666667,22.5
4.770833333,22.5
4.775,22.5
4.779166667,22.5
4.783333333,22.5
4.7875,22.5
4.791666667,22.5
4.795833333,22.5
4.8,22.5
4.804166667,22.5
4.808333333,22.5
4.8125,22.5
4.816666667,22.5
4.820833333,22.5
4.825,22.5
4.829166667,22.5
4.833333333,22.5
4.8375,22.5
4.841666667,22.5
4.845833333,22.5
4.85,22.5
4.854166667,22.5
4.858333333,22.5
4.8625,22.5
4.866666667,22.5
4.870833333,22.5
4.875,22.5
4.879166667,22.5
4.883333333,22.5
4.8875,22.5
4.891666667,22.5
4.895833333,22.5
4.9,22.5
4.904166667,22.5
4.908333333,22.5
4.9125,22.5
4.916666667,22.5
4.920833333,22.5
4.925,22.5
4.929166667,22.5
4.933333333,22.5
4.9375,22.5
4.941666667,22.5
4.945833333,22.5
4.95,22.5
4.954166667,22.5
4.958333333,22.5
4.9625,22.5
4.966666667,22.5
4.970833333,22.5
4.975,22.5
4.979166667,22.5
4.983333333,22.5
4.9875,22.5
4.991666667,22.5
4.995833333,22.5
5,22.5
5.004166667,22.5
5.008333333,22.5
5.0125,22.5
5.016666667,22.5
5.020833333,22.5
5.025,22.5
5.029166667,22.5
5.033333333,22.5
5.0375,22.5
5.041666667,22.5
5.045833333,22.5
5.05,22.5
5.054166667,22.5
5.058333333,22.5
5.0625,22.5
5.066666667,22.5
5.070833333,22.5
5.075,22.5
5.079166667,22.5
5.083333333,22.5
5.0875,22.5
5.091666667,22.5
5.095833333,22.5
5.1,22.5
5.104166667,22.5
5.108333333,22.5
5.1125,22.5
5.116666667,22.5
5.120833333,22.5
5.125,22.5
5.129166667,22.5
5.133333333,22.5
5.1375,22.5
5.141666667,22.5
5.145833333,22.5
5.15,22.5
5.154166667,22.5
5.158333333,22.5
5.1625,22.5
5.166666667,22.5
5.170833333,22.5
5.175,22.5
5.179166667,22.5
5.183333333,22.5
5.1875,22.5
5.191666667,22.5
5.195833333,22.5
5.2,22.5
5.204166667,22.5
5.208333333,22.5
5.2125,22.5
5.216666667,22.5
5.220833333,22.5
5.225,22.5
5.229166667,22.5
5.233333333,22.5
5.2375,22.5
5.241666667,22.5
5.245833333,22.5
5.25,22.5
5.254166667,22.5
5.258333333,22.5
5.2625,22.5
5.266666667,22.5
5.270833333,22.5
5.275,22.5
5.279166667,22.5
5.283333333,22.5
5.2875,22.5
5.291666667,22.5
5.295833333,22.5
5.3,22.5
5.304166667,22.5
5.308333333,22.5
5.3125,22.5
5.316666667,22.5
5.320833333,22.5
5.325,22.5
5.329166667,22.5
5.333333333,22.5
5.3375,22.5
5.341666667,22.5
5.345833333,22.5
5.35,22.5
5.354166667,22.5
5.358333333,22.5
5.3625,22.5
5.366666667,22.5
5.370833333,22.5
5.375,22.5
5.379166667,22.5
5.383333333,22.5
5.3875,22.5
5.391666667,22.5
5.395833333,22.5
5.4,22.5
5.404166667,22.5
5.408333333,22.5
5.4125,22.5
5.416666667,22.5
5.420833333,22.5
5.425,22.5
5.429166667,22.5
5.433333333,22.5
5.4375,22.5
5.441666667,22.5
5.445833333,22.5
5.45,22.5
5.454166667,22.5
5.458333333,22.5
5.4625,22.5
5.466666667,22.5
5.470833333,22.5
5.475,22.5
5.479166667,22.5
5.483333333,22.5
5.4875,22.5
5.491666667,22.5
5.495833333,22.5
5.5,22.5
5.504166667,22.5
5.508333333,22.5
5.5125,22.5
5.516666667,22.5
5.520833333,22.5
5.525,22.5
5.529166667,22.5
5.533333333,22.5
5.5375,22.5
5.541666667,22.5
5.545833333,22.5
5.55,22.5
5.554166667,22.5
5.558333333,22.5
5.5625,22.5
5.566666667,22.5
5.570833333,22.5
5.575,22.5
5.579166667,22.5
5.583333333,22.5
5.5875,22.5
5.591666667,22.5
5.595833333,22.5
5.6,22.5
5.604166667,22.5
5.608333333,22.5
5.6125,22.5
5.616666667,22.5
5.620833333,22.5
5.625,22.5
5.629166667,22.5
5.633333333,22.5
5.6375,22.5
5.641666667,22.5
5.645833333,22.5
5.65,22.5
5.654166667,22.5
5.658333333,22.5
5.6625,22.5
5.666666667,22.5
5.670833333,22.5
5.675,22.5
5.679166667,22.5
5.683333333,22.5
5.6875,22.5
5.691666667,22.5
5.695833333,22.5
5.7,22.5
5.704166667,22.5
5.708333333,22.5
5.7125,22.5
5.716666667,22.5
5.720833333,22.5
5.725,22.5
5.729166667,22.5
5.733333333,22.5
5.7375,22.5
5.741666667,22.5
5.745833333,22.5
5.75,22.5
5.754166667,22.5
5.758333333,22.5
5.7625,22.5
5.766666667,22.5
5.770833333,22.5
5.775,22.5
5.779166667,22.5
5.783333333,22.5
5.7875,22.5
5.791666667,22.5
5.795833333,22.5
5.8,22.5
5.804166667,22.5
5.808333333,22.5
5.8125,22.5
5.816666667,22.5
5.820833333,22.5
5.825,22.5
5.829166667,22.5
5.833333333,22.5
5.8375,22.5
5.841666667,22.5
5.845833333,22.5
5.85,22.5
5.854166667,22.5
5.858333333,22.5
5.8625,22.5
5.866666667,22.5
5.870833333,22.5
5.875,22.5
5.879166667,22.5
5.883333333,22.5
5.8875,22.5
5.891666667,22.5
5.895833333,22.5
5.9,22.5
5.904166667,22.5
5.908333333,22.5
5.9125,22.5
5.916666667,22.5
5.920833333,22.5
5.925,22.5
5.929166667,22.5
5.933333333,22.5
5.9375,22.5
5.941666667,22.5
5.945833333,22.5
5.95,22.5
5.954166667,22.5
5.958333333,22.5
5.9625,22.5
5.966666667,22.5
5.970833333,22.5
5.975,22.5
5.979166667,22.5
5.983333333,22.5
5.9875,22.5
5.991666667,22.5
5.995833333,22.5
6,22
6.004166667,21.9
6.008333333,21.8
6.0125,21.8
6.016666667,21.9
6.020833333,22
6.025,22.1
6.029166667,22.2
6.033333333,22.3
6.0375,22.5
6.041666667,22.6
6.045833333,22.7
6.05,22.8
6.054166667,22.8
6.058333333,22.6
6.0625,22.7
6.066666667,22.7
6.070833333,22.6
6.075,22.6
6.079166667,22.7
6.083333333,22.6
6.0875,22.6
6.091666667,22.7
6.095833333,22.7
6.1,22.7
6.104166667,22.8
6.108333333,22.9
6.1125,23.2
6.116666667,23.4
6.120833333,23.5
6.125,23.6
6.129166667,23.7
6.133333333,23.9
6.1375,23.9
6.141666667,23.8
6.145833333,23.9
6.15,23.9
6.154166667,23.9
6.158333333,23.8
6.1625,23.8
6.166666667,23.8
6.170833333,23.8
6.175,23.9
6.179166667,23.9
6.183333333,23.9
6.1875,24
6.191666667,23.9
6.195833333,24
6.2,24
6.204166667,24
6.208333333,24
6.2125,24
6.216666667,24
6.220833333,24
6.225,24
6.229166667,24
6.233333333,24
6.2375,24
6.241666667,24.1
6.245833333,24.1
6.25,24.1
6.254166667,24.2
6.258333333,24.2
6.2625,24.1
6.266666667,24.1
6.270833333,24
6.275,23.9
6.279166667,23.7
6.283333333,23.7
6.2875,23.6
6.291666667,23.6
6.295833333,23.6
6.3,23.6
6.304166667,23.7
6.308333333,23.7
6.3125,23.8
6.316666667,23.9
6.320833333,23.9
6.325,23.9
6.329166667,23.9
6.333333333,23.9
6.3375,23.9
6.341666667,23.9
6.345833333,24
6.35,24
6.354166667,24
6.358333333,24
6.3625,24
6.366666667,23.9
6.370833333,23.8
6.375,23.6
6.379166667,23.7
6.383333333,23.7
6.3875,23.6
6.391666667,23.6
6.395833333,23.6
6.4,23.4
6.404166667,23.2
6.408333333,23.1
6.4125,22.9
6.416666667,22.7
6.420833333,22.6
6.425,22.7
6.429166667,22.7
6.433333333,22.7
6.4375,22.6
6.441666667,22.6
6.445833333,22.5
6.45,22.5
6.454166667,22.6
6.458333333,22.7
6.4625,22.7
6.466666667,22.7
6.470833333,22.7
6.475,22.8
6.479166667,22.9
6.483333333,22.9
6.4875,22.9
6.491666667,23
6.495833333,23
6.5,23
6.504166667,23.1
6.508333333,23.1
6.5125,23.1
6.516666667,23.1
6.520833333,23
6.525,23
6.529166667,23
6.533333333,23
6.5375,22.9
6.541666667,22.9
6.545833333,22.9
6.55,22.9
6.554166667,23
6.558333333,23.1
6.5625,23.1
6.566666667,23.2
6.570833333,23.1
6.575,23.1
6.579166667,23.2
6.583333333,23.3
6.5875,23.4
6.591666667,23.5
6.595833333,23.5
6.6,23.5
6.604166667,23.5
6.608333333,23.5
6.6125,23.5
6.616666667,23.5
6.620833333,23.4
6.625,23.4
6.629166667,23.3
6.633333333,23.4
6.6375,23.3
6.641666667,23.3
6.645833333,23.2
6.65,23.2
6.654166667,23.1
6.658333333,23
6.6625,22.8
6.666666667,22.7
6.670833333,22.4
6.675,22.2
6.679166667,22.1
6.683333333,22.1
6.6875,22
6.691666667,21.9
6.695833333,21.9
6.7,21.8
6.704166667,21.9
6.708333333,22
6.7125,22.1
6.716666667,22.2
6.720833333,22.3
6.725,22.3
6.729166667,22.3
6.733333333,22.4
6.7375,22.5
6.741666667,22.5
6.745833333,22.4
6.75,22.5
6.754166667,22.6
6.758333333,22.8
6.7625,23
6.766666667,23.1
6.770833333,23.3
6.775,23.4
6.779166667,23.4
6.783333333,23.4
6.7875,23.4
6.791666667,23.2
6.795833333,23.3
6.8,23.3
6.804166667,23.3
6.808333333,23.5
6.8125,23.5
6.816666667,23.3
6.820833333,23.3
6.825,23.5
6.829166667,23.4
6.833333333,23.4
6.8375,23.4
6.841666667,23.4
6.845833333,23.4
6.85,23.5
6.854166667,23.3
6.858333333,23
6.8625,23
6.866666667,23.1
6.870833333,22.9
6.875,23
6.879166667,23.1
6.883333333,23.3
6.8875,23.1
6.891666667,22.8
6.895833333,22.9
6.9,23
6.904166667,22.9
6.908333333,23.2
6.9125,23.4
6.916666667,23.2
6.920833333,23.4
6.925,23.5
6.929166667,23.5
6.933333333,23.1
6.9375,23.3
6.941666667,23.1
6.945833333,22.9
6.95,23
6.954166667,23.1
6.958333333,23.1
6.9625,23.4
6.966666667,23.6
6.970833333,23.7
6.975,23.8
6.979166667,23.8
6.983333333,23.5
6.9875,23.3
6.991666667,23.2
6.995833333,23.2
7,23.3
7.004166667,23.2
7.008333333,23.2
7.0125,23.1
7.016666667,23.2
7.020833333,23.2
7.025,23.2
7.029166667,23.2
7.033333333,23
7.0375,23
7.041666667,23.1
7.045833333,23
7.05,22.9
7.054166667,22.9
7.058333333,23.2
7.0625,23.3
7.066666667,23.1
7.070833333,23.1
7.075,23
7.079166667,22.9
7.083333333,23
7.0875,22.8
7.091666667,22.8
7.095833333,23
7.1,22.9
7.104166667,23.1
7.108333333,23.4
7.1125,23.5
7.116666667,23.8
7.120833333,23.9
7.125,24
7.129166667,24.1
7.133333333,24
7.1375,24
7.141666667,24
7.145833333,24
7.15,24.1
7.154166667,24.1
7.158333333,24.1
7.1625,24.1
7.166666667,24.1
7.170833333,24.1
7.175,24.1
