Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m),JDAY
3/21/2026,7:54,4.568,5.2,-,1.32943
3/21/2026,8:00,4.437,5.09,-,1.3336
3/21/2026,8:06,4.302,4.95,-,1.33777
3/21/2026,8:12,4.164,4.81,-,1.34194
3/21/2026,8:18,4.023,4.66,-,1.34611
3/21/2026,8:24,3.879,4.51,-,1.35028
3/21/2026,8:30,3.733,4.38,-,1.35445
3/21/2026,8:36,3.585,4.25,-,1.35862
3/21/2026,8:42,3.436,4.13,-,1.36279
3/21/2026,8:48,3.286,3.97,-,1.36696
3/21/2026,8:54,3.134,3.8,-,1.37113
3/21/2026,9:00,2.983,3.64,-,1.3753
3/21/2026,9:06,2.831,3.48,-,1.37947
3/21/2026,9:12,2.679,3.37,-,1.38364
3/21/2026,9:18,2.528,3.22,-,1.38781
3/21/2026,9:24,2.378,3.06,-,1.39198
3/21/2026,9:30,2.229,2.92,-,1.39615
3/21/2026,9:36,2.082,2.75,-,1.40032
3/21/2026,9:42,1.937,2.61,-,1.40449
3/21/2026,9:48,1.794,2.48,-,1.40866
3/21/2026,9:54,1.653,2.33,-,1.41283
3/21/2026,10:00,1.515,2.2,-,1.417
3/21/2026,10:06,1.38,2.09,-,1.42117
3/21/2026,10:12,1.248,1.95,-,1.42534
3/21/2026,10:18,1.12,1.79,-,1.42951
3/21/2026,10:24,0.996,1.63,-,1.43368
3/21/2026,10:30,0.876,1.49,-,1.43785
3/21/2026,10:36,0.76,1.36,-,1.44202
3/21/2026,10:42,0.648,1.27,-,1.44619
3/21/2026,10:48,0.542,1.19,-,1.45036
3/21/2026,10:54,0.44,1.09,-,1.45453
3/21/2026,11:00,0.343,0.98,-,1.4587
3/21/2026,11:06,0.252,0.88,-,1.46287
3/21/2026,11:12,0.166,0.77,-,1.46704
3/21/2026,11:18,0.086,0.66,-,1.47121
3/21/2026,11:24,0.011,0.57,-,1.47538
3/21/2026,11:30,-0.057,0.5,-,1.47955
3/21/2026,11:36,-0.12,0.45,-,1.48372
3/21/2026,11:42,-0.176,0.38,-,1.48789
3/21/2026,11:48,-0.226,0.35,-,1.49206
3/21/2026,11:54,-0.269,0.29,-,1.49623
3/21/2026,12:00,-0.306,0.25,-,1.5004
3/21/2026,12:06,-0.336,0.23,-,1.50457
3/21/2026,12:12,-0.36,0.2,-,1.50874
3/21/2026,12:18,-0.377,0.18,-,1.51291
3/21/2026,12:24,-0.387,0.16,-,1.51708
3/21/2026,12:30,-0.39,0.16,-,1.52125
3/21/2026,12:36,-0.386,0.19,-,1.52542
3/21/2026,12:42,-0.376,0.22,-,1.52959
3/21/2026,12:48,-0.359,0.24,-,1.53376
3/21/2026,12:54,-0.336,0.26,-,1.53793
3/21/2026,13:00,-0.305,0.28,-,1.5421
3/21/2026,13:06,-0.269,0.32,-,1.54627
3/21/2026,13:12,-0.226,0.41,-,1.55044
3/21/2026,13:18,-0.176,0.46,-,1.55461
3/21/2026,13:24,-0.121,0.48,-,1.55878
3/21/2026,13:30,-0.06,0.57,-,1.56295
3/21/2026,13:36,0.008,0.64,-,1.56712
3/21/2026,13:42,0.08,0.77,-,1.57129
3/21/2026,13:48,0.158,0.85,-,1.57546
3/21/2026,13:54,0.241,0.91,-,1.57963
3/21/2026,14:00,0.328,0.97,-,1.5838
3/21/2026,14:06,0.42,1.06,-,1.58797
3/21/2026,14:12,0.517,1.17,-,1.59214
3/21/2026,14:18,0.617,1.28,-,1.59631
3/21/2026,14:24,0.72,1.38,-,1.60048
3/21/2026,14:30,0.827,1.49,-,1.60465
3/21/2026,14:36,0.937,1.59,-,1.60882
3/21/2026,14:42,1.05,1.68,-,1.61299
3/21/2026,14:48,1.165,1.79,-,1.61716
3/21/2026,14:54,1.281,1.91,-,1.62133
3/21/2026,15:00,1.4,2.03,-,1.6255
3/21/2026,15:06,1.519,2.14,-,1.62967
3/21/2026,15:12,1.64,2.26,-,1.63384
3/21/2026,15:18,1.761,2.35,-,1.63801
3/21/2026,15:24,1.882,2.45,-,1.64218
3/21/2026,15:30,2.003,2.58,-,1.64635
3/21/2026,15:36,2.124,2.72,-,1.65052
3/21/2026,15:42,2.244,2.82,-,1.65469
3/21/2026,15:48,2.363,2.92,-,1.65886
3/21/2026,15:54,2.48,3.04,-,1.66303
3/21/2026,16:00,2.596,3.17,-,1.6672
3/21/2026,16:06,2.71,3.3,-,1.67137
3/21/2026,16:12,2.821,3.4,-,1.67554
3/21/2026,16:18,2.931,3.47,-,1.67971
3/21/2026,16:24,3.037,3.58,-,1.68388
3/21/2026,16:30,3.14,3.7,-,1.68805
3/21/2026,16:36,3.241,3.84,-,1.69222
3/21/2026,16:42,3.337,3.95,-,1.69639
3/21/2026,16:48,3.43,4.04,-,1.70056
3/21/2026,16:54,3.519,4.1,-,1.70473
3/21/2026,17:00,3.604,4.17,-,1.7089
3/21/2026,17:06,3.685,4.25,-,1.71307
3/21/2026,17:12,3.762,4.33,-,1.71724
3/21/2026,17:18,3.833,4.4,-,1.72141
3/21/2026,17:24,3.9,4.48,-,1.72558
3/21/2026,17:30,3.962,4.57,-,1.72975
3/21/2026,17:36,4.019,4.65,-,1.73392
3/21/2026,17:42,4.071,4.72,-,1.73809
3/21/2026,17:48,4.117,4.79,-,1.74226
3/21/2026,17:54,4.158,4.78,-,1.74643
3/21/2026,18:00,4.193,4.77,-,1.7506
3/21/2026,18:06,4.223,4.77,-,1.75477
3/21/2026,18:12,4.247,4.8,-,1.75894
3/21/2026,18:18,4.266,4.86,-,1.76311
3/21/2026,18:24,4.279,4.9,-,1.76728
3/21/2026,18:30,4.286,4.93,-,1.77145
3/21/2026,18:36,4.287,4.91,-,1.77562
3/21/2026,18:42,4.282,4.89,-,1.77979
3/21/2026,18:48,4.272,4.85,-,1.78396
3/21/2026,18:54,4.256,4.8,-,1.78813
3/21/2026,19:00,4.234,4.81,-,1.7923
3/21/2026,19:06,4.207,4.77,-,1.79647
3/21/2026,19:12,4.175,4.73,-,1.80064
3/21/2026,19:18,4.137,4.65,-,1.80481
3/21/2026,19:24,4.094,4.59,-,1.80898
3/21/2026,19:30,4.045,4.57,-,1.81315
3/21/2026,19:36,3.992,4.52,-,1.81732
3/21/2026,19:42,3.935,4.47,-,1.82149
3/21/2026,19:48,3.873,4.38,-,1.82566
3/21/2026,19:54,3.806,4.32,-,1.82983
3/21/2026,20:00,3.736,4.25,-,1.834
3/21/2026,20:06,3.662,4.18,-,1.83817
3/21/2026,20:12,3.585,4.1,-,1.84234
3/21/2026,20:18,3.504,3.97,-,1.84651
3/21/2026,20:24,3.421,3.88,-,1.85068
3/21/2026,20:30,3.334,3.81,-,1.85485
3/21/2026,20:36,3.246,3.76,-,1.85902
3/21/2026,20:42,3.156,3.69,-,1.86319
3/21/2026,20:48,3.064,3.6,-,1.86736
3/21/2026,20:54,2.971,3.47,-,1.87153
3/21/2026,21:00,2.876,3.35,-,1.8757
3/21/2026,21:06,2.781,3.23,-,1.87987
3/21/2026,21:12,2.686,3.16,-,1.88404
3/21/2026,21:18,2.591,3.12,-,1.88821
3/21/2026,21:24,2.496,3.05,-,1.89238
3/21/2026,21:30,2.401,2.94,-,1.89655
3/21/2026,21:36,2.308,2.83,-,1.90072
3/21/2026,21:42,2.215,2.7,-,1.90489
3/21/2026,21:48,2.125,2.58,-,1.90906
3/21/2026,21:54,2.035,2.5,-,1.91323
3/21/2026,22:00,1.948,2.44,-,1.9174
3/21/2026,22:06,1.863,2.37,-,1.92157
3/21/2026,22:12,1.781,2.29,-,1.92574
3/21/2026,22:18,1.702,2.22,-,1.92991
3/21/2026,22:24,1.625,2.13,-,1.93408
3/21/2026,22:30,1.551,2.05,-,1.93825
3/21/2026,22:36,1.481,1.94,-,1.94242
3/21/2026,22:42,1.415,1.86,-,1.94659
3/21/2026,22:48,1.352,1.8,-,1.95076
3/21/2026,22:54,1.294,1.75,-,1.95493
3/21/2026,23:00,1.239,1.74,-,1.9591
3/21/2026,23:06,1.189,1.65,-,1.96327
3/21/2026,23:12,1.143,1.55,-,1.96744
3/21/2026,23:18,1.101,1.5,-,1.97161
3/21/2026,23:24,1.064,1.5,-,1.97578
3/21/2026,23:30,1.033,1.53,-,1.97995
3/21/2026,23:36,1.006,1.54,-,1.98412
3/21/2026,23:42,0.984,1.51,-,1.98829
3/21/2026,23:48,0.967,1.42,-,1.99246
3/21/2026,23:54,0.955,1.4,-,1.99663
3/22/2026,0:00,0.949,1.4,-,2.0008
3/22/2026,0:06,0.948,1.44,-,2.00497
3/22/2026,0:12,0.953,1.46,-,2.00914
3/22/2026,0:18,0.963,1.5,-,2.01331
3/22/2026,0:24,0.978,1.54,-,2.01748
3/22/2026,0:30,1,1.54,-,2.02165
3/22/2026,0:36,1.026,1.55,-,2.02582
3/22/2026,0:42,1.059,1.59,-,2.02999
3/22/2026,0:48,1.097,1.65,-,2.03416
3/22/2026,0:54,1.141,1.73,-,2.03833
3/22/2026,1:00,1.19,1.8,-,2.0425
3/22/2026,1:06,1.244,1.88,-,2.04667
3/22/2026,1:12,1.305,1.95,-,2.05084
3/22/2026,1:18,1.37,1.99,-,2.05501
3/22/2026,1:24,1.441,2.08,-,2.05918
3/22/2026,1:30,1.517,2.16,-,2.06335
3/22/2026,1:36,1.598,2.22,-,2.06752
3/22/2026,1:42,1.683,2.33,-,2.07169
3/22/2026,1:48,1.774,2.44,-,2.07586
3/22/2026,1:54,1.868,2.55,-,2.08003
3/22/2026,2:00,1.967,2.65,-,2.0842
3/22/2026,2:06,2.07,2.76,-,2.08837
3/22/2026,2:12,2.177,2.84,-,2.09254
3/22/2026,2:18,2.287,2.91,-,2.09671
3/22/2026,2:24,2.401,3.05,-,2.10088
3/22/2026,2:30,2.517,3.19,-,2.10505
3/22/2026,2:36,2.636,3.31,-,2.10922
3/22/2026,2:42,2.757,3.42,-,2.11339
3/22/2026,2:48,2.881,3.55,-,2.11756
3/22/2026,2:54,3.006,3.67,-,2.12173
3/22/2026,3:00,3.132,3.83,-,2.1259
3/22/2026,3:06,3.259,3.96,-,2.13007
3/22/2026,3:12,3.387,4.06,-,2.13424
3/22/2026,3:18,3.515,4.17,-,2.13841
3/22/2026,3:24,3.642,4.28,-,2.14258
3/22/2026,3:30,3.77,4.43,-,2.14675
3/22/2026,3:36,3.897,4.55,-,2.15092
3/22/2026,3:42,4.022,4.68,-,2.15509
3/22/2026,3:48,4.146,4.82,-,2.15926
3/22/2026,3:54,4.269,4.95,-,2.16343
3/22/2026,4:00,4.389,5.08,-,2.1676
3/22/2026,4:06,4.507,5.19,-,2.17177
3/22/2026,4:12,4.623,5.25,-,2.17594
3/22/2026,4:18,4.735,5.34,-,2.18011
3/22/2026,4:24,4.844,5.45,-,2.18428
3/22/2026,4:30,4.95,5.58,-,2.18845
3/22/2026,4:36,5.052,5.71,-,2.19262
3/22/2026,4:42,5.15,5.84,-,2.19679
3/22/2026,4:48,5.244,5.96,-,2.20096
3/22/2026,4:54,5.334,6.01,-,2.20513
3/22/2026,5:00,5.419,6.09,-,2.2093
3/22/2026,5:06,5.499,6.15,-,2.21347
3/22/2026,5:12,5.574,6.21,-,2.21764
3/22/2026,5:18,5.644,6.31,-,2.22181
3/22/2026,5:24,5.709,6.38,-,2.22598
3/22/2026,5:30,5.768,6.49,-,2.23015
3/22/2026,5:36,5.822,6.57,-,2.23432
3/22/2026,5:42,5.87,6.61,-,2.23849
3/22/2026,5:48,5.912,6.61,-,2.24266
3/22/2026,5:54,5.948,6.63,-,2.24683
3/22/2026,6:00,5.978,6.69,-,2.251
3/22/2026,6:06,6.002,6.75,-,2.25517
3/22/2026,6:12,6.02,6.79,-,2.25934
3/22/2026,6:18,6.031,6.76,-,2.26351
3/22/2026,6:24,6.036,6.75,-,2.26768
3/22/2026,6:30,6.034,6.76,-,2.27185
3/22/2026,6:36,6.026,6.75,-,2.27602
3/22/2026,6:42,6.012,6.75,-,2.28019
3/22/2026,6:48,5.991,6.73,-,2.28436
3/22/2026,6:54,5.963,6.7,-,2.28853
3/22/2026,7:00,5.929,6.67,-,2.2927
3/22/2026,7:06,5.888,6.62,-,2.29687
3/22/2026,7:12,5.841,6.58,-,2.30104
3/22/2026,7:18,5.787,6.52,-,2.30521
3/22/2026,7:24,5.727,6.43,-,2.30938
3/22/2026,7:30,5.661,6.34,-,2.31355
3/22/2026,7:36,5.588,6.24,-,2.31772
3/22/2026,7:42,5.51,6.14,-,2.32189
3/22/2026,7:48,5.426,6.09,-,2.32606
3/22/2026,7:54,5.336,6.01,-,2.33023
3/22/2026,8:00,5.241,5.89,-,2.3344
3/22/2026,8:06,5.14,5.77,-,2.33857
3/22/2026,8:12,5.034,5.65,-,2.34274
3/22/2026,8:18,4.924,5.52,-,2.34691
3/22/2026,8:24,4.809,5.42,-,2.35108
3/22/2026,8:30,4.69,5.29,-,2.35525
3/22/2026,8:36,4.567,5.17,-,2.35942
3/22/2026,8:42,4.44,5.02,-,2.36359
3/22/2026,8:48,4.309,4.9,-,2.36776
3/22/2026,8:54,4.176,4.78,-,2.37193
3/22/2026,9:00,4.04,4.66,-,2.3761
3/22/2026,9:06,3.902,4.51,-,2.38027
3/22/2026,9:12,3.761,4.35,-,2.38444
3/22/2026,9:18,3.619,4.22,-,2.38861
3/22/2026,9:24,3.476,4.1,-,2.39278
3/22/2026,9:30,3.332,3.99,-,2.39695
3/22/2026,9:36,3.186,3.89,-,2.40112
3/22/2026,9:42,3.041,3.74,-,2.40529
3/22/2026,9:48,2.896,3.57,-,2.40946
3/22/2026,9:54,2.751,3.42,-,2.41363
3/22/2026,10:00,2.606,3.29,-,2.4178
3/22/2026,10:06,2.463,3.15,-,2.42197
3/22/2026,10:12,2.321,3,-,2.42614
3/22/2026,10:18,2.18,2.88,-,2.43031
3/22/2026,10:24,2.041,2.75,-,2.43448
3/22/2026,10:30,1.905,2.63,-,2.43865
3/22/2026,10:36,1.77,2.49,-,2.44282
3/22/2026,10:42,1.638,2.33,-,2.44699
3/22/2026,10:48,1.509,2.2,-,2.45116
3/22/2026,10:54,1.383,2.06,-,2.45533
3/22/2026,11:00,1.261,1.93,-,2.4595
3/22/2026,11:06,1.141,1.79,-,2.46367
3/22/2026,11:12,1.026,1.64,-,2.46784
3/22/2026,11:18,0.914,1.54,-,2.47201
3/22/2026,11:24,0.806,1.43,-,2.47618
3/22/2026,11:30,0.702,1.32,-,2.48035
3/22/2026,11:36,0.603,1.2,-,2.48452
3/22/2026,11:42,0.508,1.09,-,2.48869
3/22/2026,11:48,0.417,0.97,-,2.49286
3/22/2026,11:54,0.332,0.91,-,2.49703
3/22/2026,12:00,0.251,0.81,-,2.5012
3/22/2026,12:06,0.175,0.7,-,2.50537
3/22/2026,12:12,0.104,0.61,-,2.50954
3/22/2026,12:18,0.039,0.48,-,2.51371
3/22/2026,12:24,-0.021,0.46,-,2.51788
3/22/2026,12:30,-0.076,0.43,-,2.52205
3/22/2026,12:36,-0.125,0.37,-,2.52622
3/22/2026,12:42,-0.169,0.34,-,2.53039
3/22/2026,12:48,-0.207,0.25,-,2.53456
3/22/2026,12:54,-0.239,0.19,-,2.53873
3/22/2026,13:00,-0.265,0.18,-,2.5429
3/22/2026,13:06,-0.285,0.17,-,2.54707
3/22/2026,13:12,-0.3,0.15,-,2.55124
3/22/2026,13:18,-0.308,0.14,-,2.55541
3/22/2026,13:24,-0.311,0.18,-,2.55958
3/22/2026,13:30,-0.308,0.26,-,2.56375
3/22/2026,13:36,-0.298,0.27,-,2.56792
3/22/2026,13:42,-0.283,0.28,-,2.57209
3/22/2026,13:48,-0.262,0.3,-,2.57626
3/22/2026,13:54,-0.236,0.29,-,2.58043
3/22/2026,14:00,-0.204,0.34,-,2.5846
3/22/2026,14:06,-0.166,0.45,-,2.58877
3/22/2026,14:12,-0.123,0.5,-,2.59294
3/22/2026,14:18,-0.075,0.56,-,2.59711
3/22/2026,14:24,-0.022,0.62,-,2.60128
3/22/2026,14:30,0.036,0.7,-,2.60545
3/22/2026,14:36,0.099,0.78,-,2.60962
3/22/2026,14:42,0.166,0.84,-,2.61379
3/22/2026,14:48,0.238,0.97,-,2.61796
3/22/2026,14:54,0.313,1.03,-,2.62213
3/22/2026,15:00,0.392,1.09,-,2.6263
3/22/2026,15:06,0.474,1.16,-,2.63047
3/22/2026,15:12,0.559,1.26,-,2.63464
3/22/2026,15:18,0.648,1.33,-,2.63881
3/22/2026,15:24,0.738,1.4,-,2.64298
3/22/2026,15:30,0.831,1.49,-,2.64715
3/22/2026,15:36,0.926,1.57,-,2.65132
3/22/2026,15:42,1.022,1.68,-,2.65549
3/22/2026,15:48,1.12,1.8,-,2.65966
3/22/2026,15:54,1.219,1.92,-,2.66383
3/22/2026,16:00,1.318,1.96,-,2.668
3/22/2026,16:06,1.418,2.05,-,2.67217
3/22/2026,16:12,1.519,2.13,-,2.67634
3/22/2026,16:18,1.619,2.22,-,2.68051
3/22/2026,16:24,1.718,2.31,-,2.68468
3/22/2026,16:30,1.817,2.4,-,2.68885
3/22/2026,16:36,1.915,2.48,-,2.69302
3/22/2026,16:42,2.012,2.6,-,2.69719
3/22/2026,16:48,2.108,2.69,-,2.70136
3/22/2026,16:54,2.202,2.8,-,2.70553
3/22/2026,17:00,2.294,2.87,-,2.7097
3/22/2026,17:06,2.385,2.95,-,2.71387
3/22/2026,17:12,2.473,3.06,-,2.71804
3/22/2026,17:18,2.559,3.18,-,2.72221
3/22/2026,17:24,2.643,3.25,-,2.72638
3/22/2026,17:30,2.724,3.31,-,2.73055
3/22/2026,17:36,2.802,3.41,-,2.73472
3/22/2026,17:42,2.877,3.47,-,2.73889
3/22/2026,17:48,2.949,3.5,-,2.74306
3/22/2026,17:54,3.018,3.63,-,2.74723
3/22/2026,18:00,3.083,3.69,-,2.7514
3/22/2026,18:06,3.145,3.81,-,2.75557
3/22/2026,18:12,3.204,3.87,-,2.75974
3/22/2026,18:18,3.259,3.9,-,2.76391
3/22/2026,18:24,3.31,3.93,-,2.76808
3/22/2026,18:30,3.357,3.99,-,2.77225
3/22/2026,18:36,3.4,4.04,-,2.77642
3/22/2026,18:42,3.439,4.04,-,2.78059
3/22/2026,18:48,3.473,4.08,-,2.78476
3/22/2026,18:54,3.504,4.13,-,2.78893
3/22/2026,19:00,3.53,4.17,-,2.7931
3/22/2026,19:06,3.552,4.22,-,2.79727
3/22/2026,19:12,3.569,4.24,-,2.80144
3/22/2026,19:18,3.582,4.2,-,2.80561
3/22/2026,19:24,3.591,4.18,-,2.80978
3/22/2026,19:30,3.595,4.21,-,2.81395
3/22/2026,19:36,3.594,4.21,-,2.81812
3/22/2026,19:42,3.589,4.18,-,2.82229
3/22/2026,19:48,3.58,4.16,-,2.82646
3/22/2026,19:54,3.566,4.14,-,2.83063
3/22/2026,20:00,3.547,4.15,-,2.8348
3/22/2026,20:06,3.525,4.12,-,2.83897
3/22/2026,20:12,3.498,4.09,-,2.84314
3/22/2026,20:18,3.468,4.03,-,2.84731
3/22/2026,20:24,3.433,3.97,-,2.85148
3/22/2026,20:30,3.395,3.92,-,2.85565
3/22/2026,20:36,3.353,3.88,-,2.85982
3/22/2026,20:42,3.308,3.85,-,2.86399
3/22/2026,20:48,3.26,3.83,-,2.86816
3/22/2026,20:54,3.209,3.79,-,2.87233
3/22/2026,21:00,3.156,3.71,-,2.8765
3/22/2026,21:06,3.099,3.65,-,2.88067
3/22/2026,21:12,3.041,3.57,-,2.88484
3/22/2026,21:18,2.981,3.51,-,2.88901
3/22/2026,21:24,2.919,3.48,-,2.89318
3/22/2026,21:30,2.856,3.41,-,2.89735
3/22/2026,21:36,2.792,3.35,-,2.90152
3/22/2026,21:42,2.727,3.3,-,2.90569
3/22/2026,21:48,2.661,3.22,-,2.90986
3/22/2026,21:54,2.596,3.14,-,2.91403
3/22/2026,22:00,2.53,3.06,-,2.9182
3/22/2026,22:06,2.465,3,-,2.92237
3/22/2026,22:12,2.4,2.94,-,2.92654
3/22/2026,22:18,2.336,2.91,-,2.93071
3/22/2026,22:24,2.274,2.88,-,2.93488
3/22/2026,22:30,2.212,2.8,-,2.93905
3/22/2026,22:36,2.152,2.7,-,2.94322
3/22/2026,22:42,2.094,2.63,-,2.94739
3/22/2026,22:48,2.038,2.57,-,2.95156
3/22/2026,22:54,1.984,2.52,-,2.95573
3/22/2026,23:00,1.932,2.51,-,2.9599
3/22/2026,23:06,1.882,2.49,-,2.96407
3/22/2026,23:12,1.836,2.42,-,2.96824
3/22/2026,23:18,1.792,2.36,-,2.97241
3/22/2026,23:24,1.751,2.29,-,2.97658
3/22/2026,23:30,1.713,-,-,2.98075
3/22/2026,23:36,1.678,-,-,2.98492
3/22/2026,23:42,1.646,-,-,2.98909
3/22/2026,23:48,1.618,-,-,2.99326
3/22/2026,23:54,1.593,-,-,2.99743
3/23/2026,,1.593,,,3.0016
3/24/2026,,1.593,,,3.00577
